Id,Label,Degree,Betweenness,Expression
285855,RPL7L1,98,174959.29,0
84365,NIFK,93,87919.46,0
4067,LYN,91,149289.72,0
64969,MRPS5,77,28828.99,0
65008,MRPL1,70,19893.02,0
3667,IRS1,59,110871.06,0
4233,MET,47,72644.15,0
841,CASP8,47,47694.94,0
3055,HCK,45,14205.28,0
8658,TNKS,41,44879.61,0
1399,CRKL,39,39138.52,0
331,XIAP,38,104019.94,0
84135,UTP15,37,14354.31,0
56902,PNO1,32,11100.54,0
7316,UBC,30,430261.22,0
2335,FN1,30,41506.12,0
64983,MRPL32,30,16584.16,0
580,BARD1,29,79562.04,0
83737,ITCH,29,45660.21,0
658,BMPR1B,27,49315.93,0
107,ADCY1,27,26439.29,0
1736,DKC1,26,32491.7,0
2960,GTF2E1,26,30100,0
158763,ARHGAP36,24,10640.78,0
4627,MYH9,23,77017.07,0
7150,TOP1,23,44214.38,0
1894,ECT2,23,12329.52,0
5203,PFDN4,22,27705.5,0
3280,HES1,22,21952.27,0
5613,PRKX,22,19294.84,0
7204,TRIO,22,12739.44,0
6709,SPTAN1,21,20379.05,0
6606,SMN1,20,30798.84,0
79658,ARHGAP10,19,5388.29,0
6009,RHEB,18,21939.76,0
2043,EPHA4,18,19081.13,0
57129,MRPL47,18,6254.48,0
92,ACVR2A,17,13354.93,0
80012,PHC3,16,16991.22,0
8819,SAP30,16,13458.77,0
5782,PTPN12,15,5452.95,0
25898,RCHY1,13,21924.44,0
55660,PRPF40A,12,22906.5,0
81608,FIP1L1,12,15453.35,0
9512,PMPCB,12,13321,0
1030,CDKN2B,12,13321,0
55339,WDR33,12,2752.37,0
5150,PDE7A,12,719.62,0
8886,DDX18,11,59375.59,0
7220,TRPC1,11,13326.01,0
3364,HUS1,11,10405.3,0
10467,ZNHIT1,10,22878,0
4084,MXD1,10,22650.32,0
23165,NUP205,10,13409.41,0
6711,SPTBN1,10,13137.64,0
26122,EPC2,10,10908,0
1808,DPYSL2,10,9739.46,0
26271,FBXO5,10,9376.99,0
293,SLC25A6,9,26440,0
387,RHOA,8,19019.27,0
3417,IDH1,8,11758.93,0
3488,IGFBP5,8,8491,0
6713,SQLE,8,8491,0
6714,SRC,7,11411.01,0
80336,PABPC1L,7,9694.33,0
2139,EYA2,7,7281,0
27347,STK39,7,7281,0
2733,GLE1,7,3767.87,0
7311,UBA52,6,36925.15,0
3265,HRAS,6,30461.35,0
5829,PXN,6,14273.98,0
