Category	Term	Count	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	IL1R1
GOTERM_BP_FAT	GO:0016339~calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	8	2.89E-07	"PCDHB2, PCDHB6, PCDHB5, PCDHB4, PCDHB3, PCDHB11, PCDHB10, PCDHB9"	258	30	16650	17.20930233	0.001192828	0.00119354	0.00119354	 IL13RA1
GOTERM_BP_FAT	GO:0036211~protein modification process	89	2.14E-05	"GALNT12, TRIO, UBE3D, IRS1, GXYLT2, DUSP18, PTPRK, CRKL, RASSF2, RNF114, SYNGAP1, TRIM4, FNTA, RNF19A, EPC2, MAN1A1, FBXO5, SPTAN1, EPHA4, EDN1, ANXA1, DTX3L, SLC35C2, HUS1, LMTK2, SIRT5, CDYL, PHKA2, SAP30, TPST1, HCK, PIGA, SGK3, TOP1, TRIB1, MET, MTMR1, KDM3A, NUP205, PPM1L, MAGED1, TNKS, STK39, XIAP, DTX2, PRKX, ADCY1, RCHY1, ZNHIT1, FLRT3, MGAT5, ST3GAL5, HES1, FNIP1, ECT2, ST3GAL1, SPTBN1, BARD1, LYN, ALG1L2, PTPN18, CDKN2B, XBP1, NQO2, EYA2, TIPARP, FN1, EIF2AK3, HS3ST5, PTPN12, FBXO32, PHC3, ACVR2A, CLK1, ITCH, P4HA2, C8ORF44-SGK3, STK17B, TTLL1, CCNG1, FGF18, CPE, BCOR, BMPR1B, FGF13, FBXL5, PAM, RAB3GAP1, PTPN3"	258	3818	16650	1.504349044	0.084598855	0.029463985	0.029463985	 FOXC1
GOTERM_BP_FAT	GO:0006464~cellular protein modification process	89	2.14E-05	"GALNT12, TRIO, UBE3D, IRS1, GXYLT2, DUSP18, PTPRK, CRKL, RASSF2, RNF114, SYNGAP1, TRIM4, FNTA, RNF19A, EPC2, MAN1A1, FBXO5, SPTAN1, EPHA4, EDN1, ANXA1, DTX3L, SLC35C2, HUS1, LMTK2, SIRT5, CDYL, PHKA2, SAP30, TPST1, HCK, PIGA, SGK3, TOP1, TRIB1, MET, MTMR1, KDM3A, NUP205, PPM1L, MAGED1, TNKS, STK39, XIAP, DTX2, PRKX, ADCY1, RCHY1, ZNHIT1, FLRT3, MGAT5, ST3GAL5, HES1, FNIP1, ECT2, ST3GAL1, SPTBN1, BARD1, LYN, ALG1L2, PTPN18, CDKN2B, XBP1, NQO2, EYA2, TIPARP, FN1, EIF2AK3, HS3ST5, PTPN12, FBXO32, PHC3, ACVR2A, CLK1, ITCH, P4HA2, C8ORF44-SGK3, STK17B, TTLL1, CCNG1, FGF18, CPE, BCOR, BMPR1B, FGF13, FBXL5, PAM, RAB3GAP1, PTPN3"	258	3818	16650	1.504349044	0.084598855	0.029463985	0.029463985	 TRIO
GOTERM_BP_FAT	GO:0007416~synapse assembly	10	1.88E-04	"PCDHB2, FLRT3, TPBG, PCDHB6, PCDHB5, PCDHB4, PCDHB3, PCDHB11, PCDHB10, PCDHB9"	258	130	16650	4.964221825	0.539080658	0.193614885	0.193614885	 PPM1L
GOTERM_BP_FAT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	10	8.24E-04	"PCDHGB5, PCDHB2, PCDHB6, PCDHB5, PCDHB4, PCDHB3, PCDHB11, PCDHB10, PCDHB9, PCDHB8"	258	159	16650	4.058797718	0.966631148	0.573188437	0.573188437	 IRS1
GOTERM_BP_FAT	GO:0038156~interleukin-3-mediated signaling pathway	29	8.33E-04	"IL1R1, IL13RA1, FOXC1, TRIO, PPM1L, IRS1, XIAP, PTPRK, RASSF2, FNTA, FLRT3, HES1, SPTBN1, KLF10, LYN, EPHA4, CDKN2B, XBP1, RBFOX2, IGFBP5, TIPARP, CRIM1, EIF2AK3, PTPN12, SULF1, ACVR2A, HCK, FGF18, ANOS1,  BMPR1B, MET"	258	954	16650	1.961752231	0.967953406	0.573188437	0.573188437	 XIAP
GOTERM_BP_FAT	GO:0050808~synapse organization	11	0.003230993	"FNTA, PCDHB2, FLRT3, TPBG, PCDHB6, PCDHB5, PCDHB4, PCDHB3, PCDHB11, PCDHB10, PCDHB9"	258	231	16650	3.073089701	0.999998417	1	1	 PTPRK
GOTERM_BP_FAT	GO:0006796~phosphate-containing compound metabolic process	66	0.004069352	"TRIO, IRS1, OGG1, NUDT1, DUSP18, PTPRK, HK2, CRKL, RASSF2, SYNGAP1, KYNU, PMPCB, SPTAN1, EPHA4, PLA2G12A, EDN1, HUS1, LMTK2, PHKA2, HCK, PIGA, SGK3, TOP1, TRIB1, MET, MTMR1, PPM1L, MAGED1, TNKS, STK39, PRKX, ADCY1, NT5E, PTDSS1, FLRT3, HES1, FNIP1, ECT2, ST3GAL1, SPTBN1, BARD1, LYN, PTPN18, CDKN2B, XBP1, NQO2, NIFK, EYA2, PSPHP1, IDH1, FN1, EIF2AK3, CHCHD10, PTPN12, ACVR2A, CLK1, ITCH, C8ORF44-SGK3, STK17B, CCNG1, FGF18, RLN2, BMPR1B, PDE7A, FGF13, PTPN3"	258	3083	16650	1.381544705	0.999999951	1	1	 RASSF2
GOTERM_BP_FAT	GO:0006793~phosphorus metabolic process	66	0.004261437	"TRIO, IRS1, OGG1, NUDT1, DUSP18, PTPRK, HK2, CRKL, RASSF2, SYNGAP1, KYNU, PMPCB, SPTAN1, EPHA4, PLA2G12A, EDN1, HUS1, LMTK2, PHKA2, HCK, PIGA, SGK3, TOP1, TRIB1, MET, MTMR1, PPM1L, MAGED1, TNKS, STK39, PRKX, ADCY1, NT5E, PTDSS1, FLRT3, HES1, FNIP1, ECT2, ST3GAL1, SPTBN1, BARD1, LYN, PTPN18, CDKN2B, XBP1, NQO2, NIFK, EYA2, PSPHP1, IDH1, FN1, EIF2AK3, CHCHD10, PTPN12, ACVR2A, CLK1, ITCH, C8ORF44-SGK3, STK17B, CCNG1, FGF18, RLN2, BMPR1B, PDE7A, FGF13, PTPN3"	258	3089	16650	1.378861226	0.999999978	1	1	 FNTA
GOTERM_BP_FAT	GO:0035335~peptidyl-tyrosine dephosphorylation	7	0.004323613	"PTPN18, MTMR1, EYA2, DUSP18, PTPRK, PTPN12, PTPN3"	258	99	16650	4.563072586	0.999999983	1	1	 FLRT3
GOTERM_BP_FAT	GO:1903706~regulation of hemopoiesis	13	0.00510977	"LYN, KLF10, XBP1, FOXC1, EGR3, ANXA1, RBFOX2, ACVR2A, CASP8, RASSF2, HES1, FNIP1, TRIB1"	258	328	16650	2.557785026	0.999999999	1	1	 HES1
GOTERM_BP_FAT	GO:0051246~regulation of protein metabolic process	55	0.006367568	"DUSP18, ANTXR1, CRKL, GLE1, RASSF2, CASP8, RNF114, SYNGAP1, FNTA, RNF19A, DGCR8, FBXO5, LBP, CAST, EPHA4, EDN1, PRORSD1P, IGFBP5, HUS1, ANOS1, MYH9, TRIB1, KDM3A, MAGED1, STK39, XIAP, ADCY1, RCHY1, TFPI, PARL, PURA, ZNHIT1, FLRT3, HES1, FNIP1, ECT2, BARD1, LYN, PTCD3, CDKN2B, XBP1, NQO2, TIPARP, FN1, CRIM1, EIF2AK3, ACVR2A, ITCH, CCNG1, FGF18, BCOR, FGF13, FBXL5, RAB3GAP1, PTPN3"	258	2512	16650	1.412985113	1	1	1	 SPTBN1
GOTERM_BP_FAT	GO:0002063~chondrocyte development	4	0.006503795	"FGF18, EIF2AK3, BMPR1B, SULF1"	258	25	16650	10.3255814	1	1	1	 KLF10
GOTERM_BP_FAT	GO:0065009~regulation of molecular function	61	0.006806193	"TRIO, IRS1, DUSP18, ARHGAP36, ANTXR1, CRKL, RASSF2, CASP8, SYNGAP1, FNTA, GM2A, PHACTR2, FBXO5, SPTAN1, RALGPS1, CAST, EPHA4, EDN1, ANXA1, ANXA3, RALGAPA2, LMTK2, ARHGAP10, HCK, DKC1, ANOS1, SGK3, TRIB1, MAGED1, TNKS, CCM2L, STK39, MGST2, XIAP, ADCY1, TFPI, FLRT3, PDE6D, HES1, FNIP1, ECT2, SPTBN1, LYN, ZNF462, CDKN2B, NIFK, FN1, CRIM1, EIF2AK3, CHCHD10, ACVR2A, ITCH, LHX2, C8ORF44-SGK3, CCNG1, FGF18, RLN2, FGF13, DCP1A, RAB3GAP1, PTPN3"	258	2863	16650	1.375001015	1	1	1	 LYN
GOTERM_BP_FAT	GO:0006468~protein phosphorylation	43	0.006865514	"TRIO, PPM1L, TNKS, IRS1, MAGED1, STK39, PRKX, DUSP18, ADCY1, CRKL, RASSF2, SYNGAP1, FLRT3, HES1, FNIP1, ECT2, ST3GAL1, SPTAN1, SPTBN1, LYN, EPHA4, CDKN2B, XBP1, NQO2, EDN1, FN1, EIF2AK3, LMTK2, HUS1, PHKA2, ACVR2A, CLK1, HCK, ITCH, C8ORF44-SGK3, STK17B, CCNG1, FGF18, SGK3, BMPR1B, FGF13, TRIB1, MET"	258	1852	16650	1.49838013	1	1	1	EPHA4
GOTERM_BP_FAT	GO:0072594~establishment of protein localization to organelle	20	0.007782704	"XBP1, NUP205, OGG1, RGPD6, RGPD5, RGPD8, RANBP6, MAIP1, GDAP1, HK2, PARL, TMCO6, CASP8, DKC1, G3BP2, HES1, ECT2, RAB3GAP1, SPTBN1, SLC25A6"	258	666	16650	1.937984496	1	1	1	 CDKN2B
GOTERM_BP_FAT	GO:0001568~blood vessel development	18	0.008183917	"XBP1, EDN1, FOXC1, SEC24B, EGR3, ANXA3, TIPARP, EIF2AK3, FN1, PRKX, SULF1, PLXDC1, ANTXR1, CRKL, FGF18, RLN2, MYH9, HES1"	258	576	16650	2.016715116	1	1	1	 XBP1
GOTERM_BP_FAT	GO:0009101~glycoprotein biosynthetic process	13	0.009129457	"ALG1L2, GALNT12, TNKS, TIPARP, SLC35C2, SIRT5, HS3ST5, GXYLT2, MGAT5, ST3GAL5, MAN1A1, BMPR1B, ST3GAL1"	258	354	16650	2.369925108	1	1	1	 RBFOX2
GOTERM_BP_FAT	GO:0046777~protein autophosphorylation	10	0.009148864	"LYN, CLK1, EPHA4, HCK, RASSF2, STK17B, STK39, EIF2AK3, LMTK2, PRKX"	258	228	16650	2.830477356	1	1	1	 IGFBP5
GOTERM_BP_FAT	GO:0009100~glycoprotein metabolic process	14	0.009323365	"ALG1L2, GALNT12, TNKS, TIPARP, SLC35C2, SIRT5, HS3ST5, GXYLT2, SULF1, MGAT5, ST3GAL5, MAN1A1, BMPR1B, ST3GAL1"	258	399	16650	2.264381885	1	1	1	 TIPARP
GOTERM_BP_FAT	GO:0098742~cell-cell adhesion via plasma-membrane adhesion molecules	10	0.009430333	"PCDHGB5, PCDHB2, PCDHB6, PCDHB5, PCDHB4, PCDHB3, PCDHB11, PCDHB10, PCDHB9, PCDHB8"	258	229	16650	2.818117193	1	1	1	 CRIM1
GOTERM_BP_FAT	GO:0048514~blood vessel morphogenesis	16	0.009475636	"XBP1, EDN1, FOXC1, SEC24B, EGR3, ANXA3, TIPARP, EIF2AK3, FN1, PRKX, SULF1, PLXDC1, FGF18, RLN2, MYH9, HES1"	258	491	16650	2.102969734	1	1	1	 EIF2AK3
GOTERM_BP_FAT	GO:0070848~response to growth factor	19	0.009723347	"KLF10, CDKN2B, XBP1, EDN1, FOXC1, EGR3, RBFOX2, ANXA3, XIAP, PTPRK, PTPN12, SULF1, ACVR2A, FNTA, FLRT3, FGF18, ANOS1, HES1, BMPR1B"	258	634	16650	1.934010711	1	1	1	 PTPN12
GOTERM_BP_FAT	GO:0007399~nervous system development	48	0.009738873	"FOXC1, PTPRK, ADCY1, PURA, SYNGAP1, FLRT3, DPYSL2, SMN2, EFHD1, HES1, ZSWIM6, SMN1, OTX1, ECT2, SPTAN1, SPTBN1, LYN, EPHA4, XBP1, ZHX2, SEC24B, EGR3, ANXA1, RBFOX2, ANXA3, TPBG, FN1, CRIM1, EIF2AK3, SULF1, PCDHB11, PLXDC1, PCDHB10, BTD, PCDHB2, LHX2, RHEB, PCDHB6, ANOS1, PCDHB5, PCDHB4, PCDHB3, BMPR1B, FGF13, PAM, PCDHB9, RAB3GAP1, MATN2"	258	2170	16650	1.427499732	1	1	1	 SULF1
GOTERM_BP_FAT	GO:0032268~regulation of cellular protein metabolic process	51	0.010273445	"DUSP18, ANTXR1, CRKL, GLE1, RASSF2, CASP8, RNF114, SYNGAP1, FNTA, RNF19A, DGCR8, FBXO5, CAST, EPHA4, EDN1, PRORSD1P, IGFBP5, HUS1, ANOS1, MYH9, TRIB1, KDM3A, MAGED1, STK39, XIAP, ADCY1, RCHY1, TFPI, PURA, ZNHIT1, FLRT3, HES1, FNIP1, ECT2, LYN, PTCD3, CDKN2B, XBP1, NQO2, FN1, CRIM1, EIF2AK3, ACVR2A, ITCH, CCNG1, FGF18, BCOR, FGF13, FBXL5, RAB3GAP1, PTPN3"	258	2346	16650	1.402932255	1	1	1	 ACVR2A
GOTERM_BP_FAT	GO:0048667~cell morphogenesis involved in neuron differentiation	16	0.010371088	"EPHA4, SEC24B, RBFOX2, FN1, ADCY1, SYNGAP1, LHX2, FLRT3, DPYSL2, ANOS1, HES1, BMPR1B, FGF13, SPTAN1, SPTBN1, MATN2"	258	496	16650	2.081770443	1	1	1	 HCK
GOTERM_BP_FAT	GO:0070126~mitochondrial translational termination	6	0.010648043	"PTCD3, MRPL1, MRPL47, MTRF1L, MRPL32, MRPS5"	258	86	16650	4.502433748	1	1	1	FGF18
GOTERM_BP_FAT	GO:0007589~body fluid secretion	6	0.010648043	"SLC22A4, EDN1, XBP1, STK39, PAM, HK2"	258	86	16650	4.502433748	1	1	1	 ANOS1
GOTERM_BP_FAT	GO:0043624~cellular protein complex disassembly	9	0.011004161	"PTCD3, MRPL1, MRPL47, FGF13, MTRF1L, SPTAN1, SPTBN1, MRPL32, MRPS5"	258	195	16650	2.978533095	1	1	1	  BMPR1B
GOTERM_BP_FAT	GO:0050790~regulation of catalytic activity	51	0.011184247	"TRIO, IRS1, DUSP18, ARHGAP36, ANTXR1, CRKL, RASSF2, CASP8, SYNGAP1, FNTA, GM2A, PHACTR2, FBXO5, SPTAN1, RALGPS1, CAST, EPHA4, EDN1, ANXA1, ANXA3, RALGAPA2, LMTK2, ARHGAP10, DKC1, ANOS1, TRIB1, MAGED1, TNKS, MGST2, XIAP, ADCY1, TFPI, FLRT3, PDE6D, FNIP1, ECT2, SPTBN1, LYN, CDKN2B, NIFK, FN1, CRIM1, EIF2AK3, CHCHD10, ACVR2A, CCNG1, FGF18, RLN2, FGF13, DCP1A, RAB3GAP1"	258	2357	16650	1.396384841	1	1	1	 MET
GOTERM_BP_FAT	GO:0007178~transmembrane receptor protein serine/threonine kinase signaling pathway	12	0.011656885	"KLF10, CDKN2B, XBP1, FNTA, PPM1L, XIAP, HES1, PTPRK, BMPR1B, SULF1, SPTBN1, ACVR2A"	258	322	16650	2.405026723	1	1	1	
GOTERM_BP_FAT	GO:0043413~macromolecule glycosylation	11	0.011670652	"ALG1L2, GALNT12, TNKS, TIPARP, MGAT5, SLC35C2, SIRT5, ST3GAL5, MAN1A1, GXYLT2, ST3GAL1"	258	279	16650	2.544386097	1	1	1	
GOTERM_BP_FAT	GO:0006486~protein glycosylation	11	0.011670652	"ALG1L2, GALNT12, TNKS, TIPARP, MGAT5, SLC35C2, SIRT5, ST3GAL5, MAN1A1, GXYLT2, ST3GAL1"	258	279	16650	2.544386097	1	1	1	
GOTERM_BP_FAT	GO:0040011~locomotion	36	0.011919251	"FOXC1, PRKX, PTPRK, FLRT3, DPYSL2, HES1, ZSWIM6, LBP, SPTAN1, SPTBN1, LYN, EPHA4, XBP1, EDN1, EGR3, ANXA1, RBFOX2, IGFBP5, IL1R1, ANXA3, FN1, PRPF40A, SULF1, ANLN, HCK, LHX2, C8ORF44-SGK3, FGF18, ANOS1, MYH9, SGK3, BMPR1B, FGF13, TRIB1, MET, MATN2"	258	1530	16650	1.518467852	1	1	1	
GOTERM_BP_FAT	GO:0007155~cell adhesion	39	0.012477058	"SRPX, PCDHGB5, CCM2L, PRKX, PTPRK, ANTXR1, LPP, CRKL, NT5E, CASP8, FLRT3, HES1, SPTAN1, SPTBN1, MICB, LYN, CAST, EPHA4, XBP1, EGR3, ANXA1, IDH1, TPBG, FN1, PCDHB11, PCDHB10, ANLN, HCK, PCDHB2, PCDHB6, ANOS1, MYH9, PCDHB5, PCDHB4, ESYT2, PCDHB3, PCDHB9, PCDHB8, HLA-DQB1"	258	1699	16650	1.481377555	1	1	1	
GOTERM_BP_FAT	GO:0048009~insulin-like growth factor receptor signaling pathway	4	0.012959578	"IGFBP5, IRS1, CRIM1, EIF2AK3"	258	32	16650	8.066860465	1	1	1	
GOTERM_BP_FAT	GO:0098609~cell-cell adhesion	29	0.013011734	"PCDHGB5, CCM2L, CRKL, NT5E, CASP8, FLRT3, HES1, SPTAN1, SPTBN1, MICB, LYN, CAST, XBP1, EGR3, ANXA1, IDH1, PCDHB11, PCDHB10, ANLN, PCDHB2, PCDHB6, MYH9, PCDHB5, PCDHB4, ESYT2, PCDHB3, PCDHB9, PCDHB8, HLA-DQB1"	258	1164	16650	1.607827859	1	1	1	
