,GSM4731601,GSM4731602,GSM4731603,GSM4731604,GSM4731605,GSM4731606,GSM4731607,GSM4731608,GSM4731609,GSM4731610,GSM4731611,GSM4731612,GSM4731613,GSM4731614,GSM4731615,GSM4731616,GSM4731617,GSM4731618
FAM138D,3.83969694,3.836368648,3.992127741,3.838654556,3.65745034,3.829592156,3.901956139,3.700799308,3.945842594,3.669465762,3.658959524,3.758682142,3.943517354,4.845475536,4.553572036,3.792130867,3.691879499,3.732688545
IGKV3D-7,5.069766563,5.124298195,5.417181482,5.143727579,5.531479786,5.072144274,5.371378502,5.015980948,5.257701468,5.092220133,5.051122797,5.143877412,5.629529581,5.584141307,5.987934349,5.050147657,5.017344208,5.022191389
KIF5C,4.893834356,4.864552135,5.080464927,4.820737968,5.091918028,4.848042885,4.861741336,4.828248765,4.925324595,4.930208694,4.912490135,5.140751147,5.16848363,5.092118343,5.184713454,5.292129494,5.414148104,4.988838136
IGKV2-24,4.774854818,5.207163974,4.960567499,4.9132294,4.639626319,4.761572252,5.253733135,5.157383516,4.869849713,4.710151233,4.903772562,4.942067034,5.301614534,5.11752524,5.35807394,4.805931532,4.828065617,4.956562071
IGKV2-26,4.803015718,4.798710793,5.148434037,4.851609792,4.853328158,4.677339647,5.303092818,4.963498062,5.257320918,4.54979748,4.871474708,4.969630763,5.11186135,5.618329703,5.539680134,4.832449029,4.853873105,4.847378329
FAM138E,3.83969694,3.836368648,3.992127741,3.838654556,3.65745034,3.829592156,3.901956139,3.700799308,3.945842594,3.669465762,3.658959524,3.758682142,3.943517354,4.845475536,4.553572036,3.792130867,3.691879499,3.732688545
FAM138C,3.83969694,3.836368648,3.992127741,3.838654556,3.65745034,3.829592156,3.901956139,3.700799308,3.945842594,3.669465762,3.658959524,3.758682142,3.943517354,4.845475536,4.553572036,3.792130867,3.691879499,3.732688545
FAM138F,3.83969694,3.836368648,3.992127741,3.838654556,3.65745034,3.829592156,3.901956139,3.700799308,3.945842594,3.669465762,3.658959524,3.758682142,3.943517354,4.845475536,4.553572036,3.792130867,3.691879499,3.732688545
AC079779.2,4.916523763,4.97499622,4.958086657,4.918787852,4.98587153,4.908391698,4.911425401,4.853875827,4.51983574,4.795952827,4.865961791,4.858152302,5.075977499,5.448923837,5.324259267,5.575440604,5.424754006,5.220338665
FAM138A,3.83969694,3.836368648,3.992127741,3.838654556,3.65745034,3.829592156,3.901956139,3.700799308,3.945842594,3.669465762,3.658959524,3.758682142,3.943517354,4.845475536,4.553572036,3.792130867,3.691879499,3.732688545
RPS7,7.381036118,7.309982167,7.360772309,7.4238026,7.369277071,7.436895849,7.30895712,7.302328393,7.250978267,7.566343566,7.503116636,7.222381449,7.193281407,7.239547498,7.192842912,7.058325164,7.00857115,7.072141589
RNF144A,5.9689244,6.094188392,5.976062148,6.03847484,6.012109269,6.028072626,5.966735233,5.890108724,5.921550183,5.849850933,5.905959756,5.855570652,5.856524432,5.752112432,5.778368445,5.801688202,5.921653402,5.938520203
LINC01871,4.181419088,4.19102509,4.325411276,4.149035519,3.978870642,3.831033256,4.005503763,3.946185559,4.217800836,3.75871987,3.835394014,4.000831508,4.071368448,4.597240473,4.481359218,4.118773361,4.0285295,3.829289916
CPSF3,8.133474606,7.876731479,7.705874976,8.023228963,8.044917776,7.970001821,7.876741675,8.133350318,8.099812241,8.275337018,8.284898798,8.130283248,8.383370137,8.161811689,8.215056968,8.600291292,8.30296053,8.169481316
IAH1,6.88120597,6.806502357,6.839655024,6.852978302,6.879739883,6.917926988,6.777293912,6.882113708,6.881802548,6.958306003,6.912192216,6.886943085,6.853440108,6.964445503,6.963151172,7.12673098,7.176444219,7.010461881
GRHL1,7.314533454,7.199881749,7.442941032,7.23594051,7.404697446,7.338405003,7.040352589,7.328961023,7.399426137,7.438668084,7.494666915,7.496371028,8.072191639,8.165416486,8.358757651,8.510540529,8.477618437,8.264589578
KLF11,7.756591134,7.763150901,7.592626242,7.679304962,7.684006237,7.709560322,7.6590182,7.75306482,7.643184104,7.683944681,7.66145173,7.566829518,8.040423995,7.889411282,8.061483764,7.971325726,8.064586742,8.231237496
RRM2,8.867921458,8.827985764,8.867995486,9.029589575,8.868238042,8.883874207,8.931079868,8.90712433,9.014469693,9.161469223,9.095778109,9.13009193,9.299596419,9.312853251,9.30087386,9.362505179,9.430562448,9.503973119
ODC1-DT,4.847916164,5.155381322,5.121986959,4.836268902,5.153098305,4.997465945,4.986419101,4.81052398,4.645607801,4.8643722,4.895512596,4.980101309,5.131528731,5.133174652,5.498360342,4.718069649,4.762600464,4.925038897
C2orf50,5.279057068,5.383513977,5.287228207,5.189152001,5.563046563,5.22016444,5.437533059,5.211352223,5.427403232,5.098222415,5.318320466,5.638676349,5.306041572,5.230888176,5.028959207,4.887734219,4.934651951,4.961431106
SLC66A3,7.739594987,7.632809556,7.390973369,7.75782305,7.468881716,7.633785647,7.650387306,7.666552222,7.437781106,7.688558068,7.622059174,7.331444811,7.306891449,7.195554902,7.248760445,7.2769407,7.00309699,7.187867836
RNA5SP84,6.49591555,6.533252646,6.062784836,6.630659909,6.388680689,6.305736287,6.750912578,6.533841238,6.084754456,6.431808986,6.484907003,6.383253245,6.43223886,6.247523766,5.98857688,5.912045259,5.327297897,5.96862083
RNU2-13P,7.814675339,7.27834624,6.92176215,7.417018143,7.536502661,7.439981097,6.987576887,7.816790516,7.093288829,7.711595983,7.690531658,6.813082409,6.637735612,6.144502584,6.485761535,7.352595161,6.708305342,6.557374905
LPIN1,6.019636648,6.069079951,6.022925605,6.048119169,6.01098247,6.044915729,6.032400902,5.976582105,6.049121692,6.056836863,6.102293913,5.990814718,6.11408427,6.09044643,6.152233241,6.387037614,6.329177626,6.328838382
LRATD1,6.442414474,6.530341489,6.536861567,6.43435467,6.382565783,6.433419369,6.499877449,6.400226259,6.297398561,6.348875999,6.284351996,6.387596419,6.409297994,6.547514162,6.419562792,6.522370905,6.507639221,6.712091149
DDX1,9.04282586,8.793359653,9.19881549,8.977473434,9.3566178,8.941273112,8.86811921,9.059376492,9.335017904,9.418024481,9.378982561,9.519892238,9.324816621,9.595590961,9.428077636,9.830533251,9.638113004,9.16173708
LINC01804,3.963578681,4.168751742,4.264025424,4.04400141,4.088216159,3.975609899,4.203611494,4.041043249,4.149532998,3.944559531,4.044984489,3.862378248,4.012022081,4.299652654,4.068727432,3.87249558,3.729920505,3.945925589
EHD3,7.030425172,7.120563587,6.976918752,7.064292797,7.241595,7.07441368,6.994700739,7.163515771,7.278620525,7.000646675,6.870707211,7.066128641,6.395199661,6.824392619,6.664244423,5.957922993,6.29653322,6.358891168
CRIM1,6.817112087,6.742364744,6.885126911,6.817089377,6.80831292,6.803742074,6.631019073,6.918656866,6.823048661,6.823378497,6.731629744,6.714256873,7.27333821,7.341109124,7.40625181,7.932943567,7.534356238,7.694064016
CYP1B1-AS1,5.225490174,5.301977546,5.682016147,4.808617297,5.958314659,5.350228741,4.61501806,5.165948049,5.705640569,5.336430244,5.358257729,5.521447313,5.341449336,5.884476216,6.080565841,6.468680464,6.6326856,6.006226538
RNU6-951P,5.225490174,5.301977546,5.682016147,4.808617297,5.958314659,5.350228741,4.61501806,5.165948049,5.705640569,5.336430244,5.358257729,5.521447313,5.341449336,5.884476216,6.080565841,6.468680464,6.6326856,6.006226538
GALM,5.773533869,5.785989773,5.647652725,5.79891087,5.643308659,5.6349795,5.756654082,5.701165403,5.605396841,5.642089942,5.569389257,5.615557522,5.254730734,5.308333351,5.068333767,5.00378397,5.079603745,5.135799138
GEMIN6,6.55399097,6.414552366,6.615878249,6.388359551,6.548058472,6.367228703,6.393822369,6.44821192,6.604513678,6.617514296,6.52034721,6.580242147,6.434684784,6.779943241,6.530521444,6.321759347,6.144791586,6.21775771
EML4,8.399271132,8.145936035,8.40037265,8.317782883,8.573140565,8.261447239,8.191165786,8.447293793,8.479831919,8.454542698,8.458541147,8.442544763,8.438816554,8.457626536,8.524117391,9.058392646,8.895160677,8.560533385
MTA3,6.42335997,6.330152142,6.40586836,6.37535035,6.561753274,6.296117065,6.290558465,6.449141989,6.409623845,6.448628156,6.417724998,6.409433638,6.478690644,6.422275704,6.402029044,6.882332734,6.77834225,6.603790055
PLEKHH2,6.378549226,6.246431832,6.669825,6.287371344,7.054032138,6.256713946,6.038505274,6.60143705,6.726393247,6.076400613,6.106997366,6.232579323,5.284889082,5.588734329,5.595591337,6.674867462,6.871505019,6.342342662
PPM1B,7.011421412,6.713179984,7.237801714,6.91744519,7.175225214,6.863400959,6.675265855,7.018784235,7.257058099,7.0725345,7.167829214,7.297011163,7.296767065,7.518827302,7.535982731,7.777274644,7.765829036,7.223466148
RHOQ,7.55268089,7.335436131,7.538487455,7.490190269,7.667149067,7.501287802,7.343311022,7.491650571,7.530039928,7.374831289,7.404642769,7.384132372,6.956963907,7.005281034,7.131339817,7.512011673,7.35785328,7.246742162
CRIPT,7.202236563,7.159575254,7.61091543,7.234241858,7.564354536,7.103833635,7.230630507,7.4146323,7.807401892,7.3563476,7.241918806,7.373021537,6.592160962,6.930014778,6.940047001,6.382791081,6.954118241,6.579218517
EPCAM,9.25548087,9.152811335,9.238799387,9.256622422,9.295398696,9.224922314,9.174933033,9.247291802,9.357399497,9.19291982,9.2255948,9.311874493,9.130777122,9.235791712,9.261147519,9.706526369,9.465721964,9.334970063
MSH2,8.173554258,7.908656205,8.415301902,8.066989358,8.583226952,8.077826758,7.990878394,8.24309404,8.572070849,8.306834515,8.448428669,8.618770778,7.584889316,7.998130778,7.839556192,7.984947631,7.843969309,7.256322327
