Pathway,Total,Expected,Hits,P.Value,FDR
Ribosome,153,14.7,112,3.75e-82,1.19e-79
Apoptosis,136,13.1,69,4.6e-35,7.31e-33
Hepatitis B,163,15.7,64,1.25e-24,1.32e-22
ErbB signaling pathway,85,8.17,45,3.48e-24,2.77e-22
Axon guidance,181,17.4,66,3.08e-23,1.96e-21
Focal adhesion,199,19.1,69,8.62e-23,4.57e-21
Pathways in cancer,530,51,124,1.52e-22,6.63e-21
Epstein-Barr virus infection,201,19.3,69,1.67e-22,6.63e-21
TGF-beta signaling pathway,92,8.85,45,2.52e-22,8.9e-21
FoxO signaling pathway,132,12.7,54,6.3e-22,2e-20
Neurotrophin signaling pathway,119,11.4,50,5.39e-21,1.56e-19
Colorectal cancer,86,8.27,42,7.05e-21,1.87e-19
Chronic myeloid leukemia,76,7.31,39,1.82e-20,4.46e-19
T cell receptor signaling pathway,101,9.71,45,2.99e-20,6.8e-19
B cell receptor signaling pathway,71,6.83,37,8.91e-20,1.89e-18
Pancreatic cancer,75,7.21,38,1.02e-19,2.01e-18
EGFR tyrosine kinase inhibitor resistance,79,7.6,39,1.1e-19,2.01e-18
Proteoglycans in cancer,201,19.3,65,1.14e-19,2.01e-18
Fc epsilon RI signaling pathway,68,6.54,35,1.52e-18,2.55e-17
Cellular senescence,160,15.4,55,3.71e-18,5.9e-17
Insulin signaling pathway,137,13.2,50,7.34e-18,1.11e-16
Viral carcinogenesis,201,19.3,62,1.18e-17,1.7e-16
Proteasome,45,4.33,27,7.14e-17,9.87e-16
Signaling pathways regulating pluripotency of stem cells,139,13.4,47,2.32e-15,3.07e-14
Hepatitis C,155,14.9,50,2.54e-15,3.23e-14
Ribosome biogenesis in eukaryotes,105,10.1,40,2.9e-15,3.55e-14
Prolactin signaling pathway,70,6.73,32,3.8e-15,4.48e-14
Kaposi's sarcoma-associated herpesvirus infection,186,17.9,55,6.82e-15,7.75e-14
Measles,138,13.3,46,8.59e-15,9.41e-14
PI3K-Akt signaling pathway,354,34,82,9.38e-15,9.94e-14
AGE-RAGE signaling pathway in diabetic complications,100,9.62,38,1.6e-14,1.65e-13
Renal cell carcinoma,69,6.64,31,1.88e-14,1.86e-13
Thyroid hormone signaling pathway,116,11.2,41,2.65e-14,2.55e-13
Prostate cancer,97,9.33,37,3.11e-14,2.91e-13
Non-small cell lung cancer,66,6.35,30,3.39e-14,3.08e-13
Endocrine resistance,98,9.42,37,4.55e-14,4.02e-13
Adherens junction,72,6.92,31,7.92e-14,6.8e-13
Ras signaling pathway,232,22.3,61,8.39e-14,7.02e-13
Endometrial cancer,58,5.58,27,3.22e-13,2.63e-12
Choline metabolism in cancer,99,9.52,36,3.84e-13,3.05e-12
VEGF signaling pathway,59,5.67,27,5.4e-13,4.19e-12
Pathogenic Escherichia coli infection,55,5.29,26,5.66e-13,4.29e-12
Insulin resistance,108,10.4,37,1.49e-12,1.1e-11
Regulation of actin cytoskeleton,214,20.6,55,4.03e-12,2.91e-11
Leukocyte transendothelial migration,112,10.8,37,5.24e-12,3.67e-11
Osteoclast differentiation,128,12.3,40,5.31e-12,3.67e-11
