Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007167~enzyme linked receptor protein signaling pathway	24	0.09330534173081409	6.48908287492756E-6	LYN, KLF10, EPHA4, CDKN2B, FOXC1, TRIO, RBFOX2, PPM1L, IRS1, TIPARP, CRIM1, EIF2AK3, XIAP, PTPRK, PTPN12, SULF1, ACVR2A, FNTA, FLRT3, ANOS1, HES1, BMPR1B, MET, SPTBN1	144	954	16650	2.908805031446541	0.021745173518036398	0.01048065299684833	0.010418783734765402
GOTERM_BP_FAT	GO:0006464~cellular protein modification process	57	0.22160018661068348	9.28038931243949E-6	TRIO, IRS1, PTPRK, CRKL, RNF114, FNTA, TRIM4, RNF19A, EPC2, FBXO5, SPTAN1, EPHA4, EDN1, ANXA1, DTX3L, HUS1, LMTK2, SIRT5, CDYL, SAP30, PIGA, TOP1, TRIB1, MET, MTMR1, KDM3A, NUP205, PPM1L, TNKS, STK39, XIAP, RCHY1, FLRT3, HES1, FNIP1, ECT2, ST3GAL1, SPTBN1, BARD1, LYN, CDKN2B, TIPARP, EIF2AK3, PTPN12, FBXO32, PHC3, ACVR2A, CLK1, ITCH, P4HA2, STK17B, BCOR, BMPR1B, FGF13, FBXL5, PAM, RAB3GAP1	144	3818	16650	1.7261982713462545	0.030952942082679846	0.01048065299684833	0.010418783734765402
GOTERM_BP_FAT	GO:0036211~protein modification process	57	0.22160018661068348	9.28038931243949E-6	TRIO, IRS1, PTPRK, CRKL, RNF114, FNTA, TRIM4, RNF19A, EPC2, FBXO5, SPTAN1, EPHA4, EDN1, ANXA1, DTX3L, HUS1, LMTK2, SIRT5, CDYL, SAP30, PIGA, TOP1, TRIB1, MET, MTMR1, KDM3A, NUP205, PPM1L, TNKS, STK39, XIAP, RCHY1, FLRT3, HES1, FNIP1, ECT2, ST3GAL1, SPTBN1, BARD1, LYN, CDKN2B, TIPARP, EIF2AK3, PTPN12, FBXO32, PHC3, ACVR2A, CLK1, ITCH, P4HA2, STK17B, BCOR, BMPR1B, FGF13, FBXL5, PAM, RAB3GAP1	144	3818	16650	1.7261982713462545	0.030952942082679846	0.01048065299684833	0.010418783734765402
GOTERM_BP_FAT	GO:0010467~gene expression	71	0.276028302620325	1.4652191802140537E-5	PTPRK, MRPL32, CASP8, MRPL1, PMPCB, DGCR8, EPC2, FBXO5, LMCD1, RBM5, KLF10, UTP15, ZHX2, EDN1, RBFOX2, ANXA3, SIRT5, MRPL47, PRPF40A, CDYL, MRPS5, WDR33, SAP30, PDE12, DKC1, RPL7L1, ZSCAN21, MYH9, RBMS1, SRFBP1, TOP1, TRIB1, MET, VGLL1, MTRF1L, METTL2B, KDM3A, FOXC1, NUP205, TNKS, ZBTB43, XIAP, GTF2E1, CDKN2AIP, PARL, PURA, FIP1L1, SMN2, HES1, SMN1, FNIP1, BARD1, PTCD3, ZNF462, CDKN2B, NIFK, PNO1, TIPARP, EIF2AK3, GRHL1, SULF1, ACVR2A, CLK1, ITCH, BCOR, BMPR1B, MXD1, DCP1A, PAM, RAB3GAP1, FARSB	144	5306	16650	1.5471871466264608	0.048429964418130966	0.012410406456413035	0.012337145497402332
GOTERM_BP_FAT	GO:0043624~cellular protein complex disassembly	9	0.03498950314905528	2.830573049930091E-4	PTCD3, MRPL1, MRPL47, FGF13, MTRF1L, SPTAN1, SPTBN1, MRPL32, MRPS5	144	195	16650	5.336538461538462	0.6167753470942752	0.18739669645719842	0.18629045857964707
GOTERM_BP_FAT	GO:0070848~response to growth factor	16	0.062203561153876055	3.666897202367026E-4	KLF10, CDKN2B, EDN1, FOXC1, RBFOX2, ANXA3, XIAP, PTPRK, PTPN12, SULF1, ACVR2A, FNTA, FLRT3, ANOS1, HES1, BMPR1B	144	634	16650	2.9179810725552047	0.7113592966643493	0.18739669645719842	0.18629045857964707
GOTERM_BP_FAT	GO:0016070~RNA metabolic process	60	0.2332633543270352	3.8718325714297194E-4	PTPRK, MRPL1, DGCR8, EPC2, FBXO5, LMCD1, RBM5, KLF10, UTP15, DDX18, ZHX2, EDN1, RBFOX2, ANXA3, SIRT5, PRPF40A, CDYL, WDR33, SAP30, PDE12, DKC1, RPL7L1, ZSCAN21, RBMS1, SRFBP1, TRIB1, MET, VGLL1, METTL2B, KDM3A, FOXC1, NUP205, TNKS, ZBTB43, XIAP, GTF2E1, CDKN2AIP, PURA, FIP1L1, SMN2, HES1, SMN1, FNIP1, BARD1, ZNF462, CDKN2B, NIFK, PNO1, EIF2AK3, GRHL1, SULF1, ACVR2A, CLK1, ITCH, BCOR, BMPR1B, MXD1, DCP1A, PAM, FARSB	144	4648	16650	1.4925774526678142	0.7307273623514521	0.18739669645719842	0.18629045857964707
GOTERM_BP_FAT	GO:0007178~transmembrane receptor protein serine/threonine kinase signaling pathway	11	0.04276494829328979	4.700979916633666E-4	KLF10, CDKN2B, FNTA, PPM1L, XIAP, HES1, PTPRK, BMPR1B, SULF1, SPTBN1, ACVR2A	144	322	16650	3.949922360248448	0.7966987630026705	0.19908649946943577	0.19791125449027733
GOTERM_BP_FAT	GO:0051246~regulation of protein metabolic process	38	0.14773345774045563	5.34489271354432E-4	KDM3A, STK39, XIAP, RCHY1, TFPI, PARL, CRKL, PURA, CASP8, RNF114, FNTA, FLRT3, RNF19A, DGCR8, HES1, FBXO5, FNIP1, ECT2, BARD1, LYN, PTCD3, CAST, EPHA4, CDKN2B, EDN1, TIPARP, CRIM1, EIF2AK3, HUS1, ACVR2A, ITCH, ANOS1, MYH9, BCOR, FGF13, TRIB1, FBXL5, RAB3GAP1	144	2512	16650	1.7491042993630574	0.8365639936470117	0.20120551681653506	0.20001776288019188
GOTERM_BP_FAT	GO:0043933~macromolecular complex subunit organization	37	0.14384573516833837	7.405287870498776E-4	KDM3A, FOXC1, NUP205, MRPL32, CASP8, MRPL1, TRIM4, SMN2, EPC2, HES1, SMN1, FBXO5, FNIP1, ECT2, SPTAN1, RBM5, SPTBN1, PTCD3, ZNF462, SEC24B, NIFK, DTX3L, VBP1, EIF2AK3, SIRT5, MRPL47, CDYL, RANBP6, MRPS5, SAP30, ANLN, BCOR, TOP1, FGF13, PAM, MTRF1L, FARSB	144	2461	16650	1.7383685493701746	0.9187188340177547	0.21261058281706102	0.21135550263514213
