Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0031966~mitochondrial membrane	16	0.062203561153876055	0.0010239172510767575	LYN, PTCD3, EPHA4, ANXA1, SIRT5, MRPL47, MAIP1, GDAP1, MRPS5, MRPL32, HK2, PARL, CASP8, MRPL1, PMPCB, ABCG2	128	691	14527	2.627894356005789	0.32037531247563134	0.22764843081933334	0.2234215368783908
GOTERM_CC_FAT	GO:0005654~nucleoplasm	42	0.16328434802892466	0.0013363675291364996	KDM3A, FOXC1, NUP205, XIAP, RCHY1, GTF2E1, CDKN2AIP, CASP8, FIP1L1, KYNU, SMN2, DGCR8, EPC2, HES1, SMN1, FBXO5, LMCD1, RBM5, BARD1, UTP15, CDKN2B, ZHX2, ANXA1, RBFOX2, MIOS, NIFK, DTX3L, PNO1, ANKHD1-EIF4EBP3, HUS1, PRPF40A, CDYL, GRHL1, FBXO32, PHC3, ANKHD1, WDR33, SAP30, ANLN, DKC1, KIF4A, TOP1	128	2996	14527	1.5910119742990656	0.39597971473516236	0.22764843081933334	0.2234215368783908
GOTERM_CC_FAT	GO:0005740~mitochondrial envelope	16	0.062203561153876055	0.0018115259746896552	LYN, PTCD3, EPHA4, ANXA1, SIRT5, MRPL47, MAIP1, GDAP1, MRPS5, MRPL32, HK2, PARL, CASP8, MRPL1, PMPCB, ABCG2	128	732	14527	2.480703551912568	0.4951856934344876	0.22764843081933334	0.2234215368783908
GOTERM_CC_FAT	GO:0030864~cortical actin cytoskeleton	5	0.019438612860586266	0.002791536023707807	ANLN, MYH9, SPTAN1, SPTBN1, PLS1	128	67	14527	8.469566231343284	0.6514176364137285	0.2631022702344608	0.2582170821929721
GOTERM_CC_FAT	GO:0031967~organelle envelope	20	0.07775445144234507	0.005145390212195129	LYN, PTCD3, EPHA4, NUP205, ANXA1, TNKS, SIRT5, RGPD8, MRPL47, RANBP6, MAIP1, GDAP1, MRPS5, MRPL32, HK2, PARL, CASP8, MRPL1, PMPCB, ABCG2	128	1149	14527	1.9754949956483898	0.8569870138093323	0.277905490870093	0.2727454419679957
GOTERM_CC_FAT	GO:0031975~envelope	20	0.07775445144234507	0.0053886045389786984	LYN, PTCD3, EPHA4, NUP205, ANXA1, TNKS, SIRT5, RGPD8, MRPL47, RANBP6, MAIP1, GDAP1, MRPS5, MRPL32, HK2, PARL, CASP8, MRPL1, PMPCB, ABCG2	128	1154	14527	1.966935658578856	0.8695802442182132	0.277905490870093	0.2727454419679957
GOTERM_CC_FAT	GO:0044429~mitochondrial part	18	0.06997900629811056	0.005637497458262754	LYN, PTCD3, EPHA4, ANXA1, SIRT5, MRPL47, MAIP1, GDAP1, MRPS5, MRPL32, HK2, PARL, CASP8, MRPL1, PDE12, PMPCB, MTRF1L, ABCG2	128	990	14527	2.063494318181818	0.88132302142203	0.277905490870093	0.2727454419679957
GOTERM_CC_FAT	GO:0005829~cytosol	43	0.16717207060104192	0.008124360109287769	MTMR1, TRIO, TNKS, IRS1, STK39, XIAP, HMMR, HK2, CRKL, CASP8, RNF114, MRPL1, FNTA, RNF19A, KYNU, SMN2, SMN1, FBXO5, ECT2, SPTAN1, SPTBN1, LYN, CAST, CDKN2B, SEC24B, DTX3L, PNO1, LMTK2, HUS1, SIRT5, PTPN12, MRPS5, ARHGAP10, ITCH, RHEB, KIF4A, RPL7L1, MYH9, PLIN2, PFDN4, PDE7A, DCP1A, FARSB	128	3399	14527	1.4357646550456018	0.9538285459059198	0.277905490870093	0.2727454419679957
GOTERM_CC_FAT	GO:0030863~cortical cytoskeleton	5	0.019438612860586266	0.008612803928652867	ANLN, MYH9, SPTAN1, SPTBN1, PLS1	128	92	14527	6.168053668478261	0.9616534568874985	0.277905490870093	0.2727454419679957
GOTERM_CC_FAT	GO:0005913~cell-cell adherens junction	9	0.03498950314905528	0.008741478214108712	LYN, CAST, ANLN, ANXA1, MYH9, ESYT2, SPTAN1, SPTBN1, CRKL	128	332	14527	3.076595444277108	0.9634847652744606	0.277905490870093	0.2727454419679957
GOTERM_CC_FAT	GO:0030529~intracellular ribonucleoprotein complex	15	0.0583158385817588	0.008752733785241096	VBP1, MRPL47, PRPF40A, MRPS5, MRPL32, MRPL1, DKC1, RHEB, RPL7L1, SMN2, SRFBP1, SMN1, TOP1, DCP1A, RBM5	128	786	14527	2.1658814408396947	0.9636407454067719	0.277905490870093	0.2727454419679957
GOTERM_CC_FAT	GO:1990904~ribonucleoprotein complex	15	0.0583158385817588	0.008845798117880943	VBP1, MRPL47, PRPF40A, MRPS5, MRPL32, MRPL1, DKC1, RHEB, RPL7L1, SMN2, SRFBP1, SMN1, TOP1, DCP1A, RBM5	128	787	14527	2.163129367852605	0.9649052323418547	0.277905490870093	0.2727454419679957
GOTERM_CC_FAT	GO:0005911~cell-cell junction	13	0.0505403934375243	0.010737395462498169	LYN, CAST, ANXA1, PTPRK, CRKL, ANLN, FLRT3, MYH9, ESYT2, ECT2, FGF13, SPTAN1, SPTBN1	128	644	14527	2.29099136257764	0.9829206884356989	0.3113844684124469	0.30560279393264017
GOTERM_CC_FAT	GO:0043204~perikaryon	5	0.019438612860586266	0.013953904357817291	EPHA4, SMN2, SMN1, TOP1, PAM	128	106	14527	5.353405070754717	0.9949967626130264	0.375758710206937	0.3687817580280284
GOTERM_CC_FAT	GO:0005912~adherens junction	13	0.0505403934375243	0.018394070298448438	LYN, CAST, ANXA1, PTPRK, PTPN12, LPP, CRKL, ANLN, FLRT3, MYH9, ESYT2, SPTAN1, SPTBN1	128	694	14527	2.125934347982709	0.9990873288887527	0.4623043001676707	0.4537204006950615
GOTERM_CC_FAT	GO:0070161~anchoring junction	13	0.0505403934375243	0.02176465893561639	LYN, CAST, ANXA1, PTPRK, PTPN12, LPP, CRKL, ANLN, FLRT3, MYH9, ESYT2, SPTAN1, SPTBN1	128	711	14527	2.075103287623066	0.9997504586882364	0.5128297761704612	0.503307737886129
GOTERM_CC_FAT	GO:0044297~cell body	10	0.03887722572117253	0.024974493204463648	PURA, EPHA4, CASP8, ANXA3, SMN2, PTPRK, SMN1, TOP1, BMPR1B, PAM	128	480	14527	2.3644205729166665	0.9999277191340251	0.5538461140048703	0.5435624991559735
GOTERM_CC_FAT	GO:0044448~cell cortex part	5	0.019438612860586266	0.027232056192331596	ANLN, MYH9, SPTAN1, SPTBN1, PLS1	128	130	14527	4.365084134615384	0.9999698361010213	0.5703602880282784	0.5597700439534828
GOTERM_CC_FAT	GO:0043025~neuronal cell body	9	0.03498950314905528	0.03073639574537365	PURA, EPHA4, ANXA3, SMN2, PTPRK, SMN1, TOP1, BMPR1B, PAM	128	419	14527	2.437779683770883	0.9999922625419025	0.584072768542958	0.573227916076643
GOTERM_CC_FAT	GO:0005743~mitochondrial inner membrane	10	0.03887722572117253	0.030985292760899626	LYN, PTCD3, MRPL1, SIRT5, PMPCB, MRPL47, MAIP1, MRPL32, MRPS5, PARL	128	499	14527	2.2743925350701404	0.9999929765747064	0.584072768542958	0.573227916076643
GOTERM_CC_FAT	GO:0005826~actomyosin contractile ring	2	0.007775445144234507	0.03451698043953935	ANLN, MYH9	128	4	14527	56.74609375	0.999998226916087	0.6196619821764922	0.6081563220299792
GOTERM_CC_FAT	GO:0005739~mitochondrion	23	0.08941761915869684	0.038089637415556474	LYN, SLC22A4, PTCD3, EPHA4, ANXA1, NOL7, SIRT5, MRPL47, MAIP1, GDAP1, MRPS5, MRPL32, HK2, PARL, CASP8, MRPL1, PDE12, KYNU, PMPCB, BCOR, PFDN4, MTRF1L, ABCG2	128	1700	14527	1.5354825367647058	0.9999995617262354	0.6527178775302178	0.6405984474434497
GOTERM_CC_FAT	GO:0005730~nucleolus	14	0.05442811600964155	0.04467076125162526	UTP15, DDX18, NIFK, PNO1, NOL7, HUS1, CDKN2AIP, WDR33, DKC1, RPL7L1, DGCR8, TOP1, FGF13, SPTBN1	128	882	14527	1.8014632936507935	0.9999999670612308	0.7322120431244662	0.7186165940478846
GOTERM_CC_FAT	GO:0015629~actin cytoskeleton	9	0.03498950314905528	0.05241303906860188	ANLN, STK17B, MYH9, PLS3, PTPN12, SPTAN1, PHC3, SPTBN1, PLS1	128	467	14527	2.1872156049250537	0.9999999984675311	0.8233214887026212	0.8080343523076123
GOTERM_CC_FAT	GO:0019866~organelle inner membrane	10	0.03887722572117253	0.0554316466335864	LYN, PTCD3, MRPL1, SIRT5, PMPCB, MRPL47, MAIP1, MRPL32, MRPS5, PARL	128	557	14527	2.0375617145421905	0.9999999995397557	0.8359092312344829	0.8203883701770788
GOTERM_CC_FAT	GO:0016272~prefoldin complex	2	0.007775445144234507	0.05962656866776792	VBP1, PFDN4	128	7	14527	32.426339285714285	0.9999999999140528	0.8645852456826348	0.8485319387336204
GOTERM_CC_FAT	GO:0098802~plasma membrane receptor complex	5	0.019438612860586266	0.06746306852439724	LYN, IRS1, MYH9, BMPR1B, IL13RA1	128	175	14527	3.2426339285714287	0.9999999999963348	0.8770790651682148	0.8607937774860464
GOTERM_CC_FAT	GO:0043235~receptor complex	7	0.027214058004820775	0.06805803507259242	LYN, IRS1, TRPC1, MYH9, BMPR1B, ACVR2A, IL13RA1	128	328	14527	2.4220893673780486	0.9999999999971186	0.8770790651682148	0.8607937774860464
GOTERM_CC_FAT	GO:0009986~cell surface	12	0.046652670865407045	0.07148353082804396	EPHA4, NT5E, ANXA1, MYH9, PTPRK, HMMR, ECT2, TFPI, SULF1, MET, PAM, ACVR2A	128	765	14527	1.7802696078431373	0.9999999999992811	0.8770790651682148	0.8607937774860464
GOTERM_CC_FAT	GO:0008091~spectrin	2	0.007775445144234507	0.07600524817715308	SPTAN1, SPTBN1	128	9	14527	25.22048611111111	0.9999999999998859	0.8770790651682148	0.8607937774860464
GOTERM_CC_FAT	GO:0005759~mitochondrial matrix	8	0.031101780576938028	0.07926877935746363	PDE12, SIRT5, PMPCB, MRPL47, MAIP1, MTRF1L, MRPL32, MRPS5	128	425	14527	2.1363235294117646	0.9999999999999699	0.8770790651682148	0.8607937774860464
GOTERM_CC_FAT	GO:0015030~Cajal body	3	0.011663167716351761	0.08346634047164751	DKC1, SMN2, SMN1	128	55	14527	6.1904829545454545	0.9999999999999947	0.8770790651682148	0.8607937774860464
GOTERM_CC_FAT	GO:0044391~ribosomal subunit	5	0.019438612860586266	0.08405300345595698	MRPL1, RPL7L1, MRPL47, MRPL32, MRPS5	128	189	14527	3.002438822751323	0.9999999999999958	0.8770790651682148	0.8607937774860464
GOTERM_CC_FAT	GO:0070938~contractile ring	2	0.007775445144234507	0.0840881338033581	ANLN, MYH9	128	10	14527	22.6984375	0.9999999999999959	0.8770790651682148	0.8607937774860464
