"","rownames.downRegulated_DEGs.","expres"
"GRHL1","GRHL1",2.93572771919642
"CRIM1","CRIM1",2.81332971713142
"PNO1","PNO1",2.87879697416945
"HK2","HK2",2.85264208625427
"PTCD3","PTCD3",2.92037461328684
"KDM3A","KDM3A",2.85013391470448
"KRCC1","KRCC1",2.94218539071774
"EIF2AK3","EIF2AK3",2.97686267847814
"RGPD5","RGPD5",3.04052201950007
"RGPD6","RGPD6",3.04052201950007
"ZC3H6","ZC3H6",2.79971366549599
"RGPD8","RGPD8",3.04052201950007
"DDX18","DDX18",3.03760228453378
"NIFK","NIFK",3.12483991418576
"WDR33","WDR33",2.90848265162448
"RAB3GAP1","RAB3GAP1",2.96523277663831
"KYNU","KYNU",2.88450456271841
"ACVR2A","ACVR2A",2.83785111575087
"EPC2","EPC2",3.01050237094661
"PRPF40A","PRPF40A",3.12505531698118
"MARCHF7","MARCHF7",3.25233296495301
"RBMS1","RBMS1",2.78022397911733
"STK39","STK39",3.03125015943595
"IGKV1-27","IGKV1-27",2.23058387103978
"LMCD1","LMCD1",2.62149437494539
"MIR3681HG","MIR3681HG",2.12277857321333
"COL6A4P1","COL6A4P1",1.98483411412284
"RNU6-367P","RNU6-367P",2.20476771601442
"SPTBN1","SPTBN1",3.36451363469044
"RBM5","RBM5",3.13522226408756
"MXD1","MXD1",3.13375405774569
"DCP1A","DCP1A",2.72760205358797
"AC121764.1","AC121764.1",1.94761974362642
"PDE12","PDE12",2.7612884224971
"IGKV1D-27","IGKV1D-27",2.23058387103978
"MRPS5","MRPS5",3.1850053276528
"GTF2E1","GTF2E1",2.98743967443117
"MRPS9-AS1","MRPS9-AS1",2.09033017233817
"DTX3L","DTX3L",2.90857722731924
"LINC02035","LINC02035",2.20950917636048
"AC079753.1","AC079753.1",2.45295050932938
"PLS1","PLS1",2.86770519665366
"TRPC1","TRPC1",2.49707335035192
"AC022494.1","AC022494.1",2.79940579583354
"TIPARP","TIPARP",2.75646987039095
"LEKR1","LEKR1",1.89066441895054
"PPM1L","PPM1L",2.52204343017531
"PHC3","PHC3",2.92350939311889
"FNDC3B","FNDC3B",3.01042736990561
"ECT2","ECT2",3.17497480549423
"MRPL47","MRPL47",3.01456185299502
"AC131160.1","AC131160.1",2.93042842438043
"PARL","PARL",2.93042842438043
"LPP","LPP",3.02073528853378
"HES1","HES1",3.11029182415886
"TFPI","TFPI",2.23252917175836
"LRCH3","LRCH3",2.71373808453862
"STK17B","STK17B",2.70190445684083
"C2orf69","C2orf69",2.76539327264681
"MAIP1","MAIP1",2.91432617537433
"CLK1","CLK1",2.81733111248072
"CASP8","CASP8",3.0696178452038
"BARD1","BARD1",3.00853032438256
"EPHA4","EPHA4",2.71011134196887
"FARSB","FARSB",2.40200930492359
"IRS1","IRS1",3.11820699156713
"LINC01807","LINC01807",1.93612899403221
"ARL4C","ARL4C",2.45128469295766
"AC012485.1","AC012485.1",2.64035971868118
"AC124861.1","AC124861.1",2.24511019411948
"SMN2","SMN2",3.03316006897087
"AC138827.3","AC138827.3",3.27066573287208
"AL133216.6","AL133216.6",2.72850379302788
"STX18","STX18",2.82758464480586
"CICP18","CICP18",2.72850379302788
"LINC00266-1","LINC00266-1",2.72850379302788
"FBXL5","FBXL5",3.13134843783375
"CDYL","CDYL",2.78318206853411
"EDN1","EDN1",2.69952314497981
"SIRT5","SIRT5",3.0681242741942
"SEPTIN14P19","SEPTIN14P19",2.72850379302788
"NOL7","NOL7",3.0681242741942
"AL133216.1","AL133216.1",2.72850379302788
"FIP1L1","FIP1L1",3.05027796090394
"TRIO","TRIO",3.13596205294459
"RCHY1","RCHY1",2.79157377071361
"MRPL1","MRPL1",2.78225724408433
"ANXA3","ANXA3",3.08602469335883
"WDFY3-AS1","WDFY3-AS1",2.43965418270256
"ZSWIM6","ZSWIM6",3.1675323707069
"AC069287.1","AC069287.1",2.72850379302788
"SMN1","SMN1",3.03316006897087
"OCLNP1","OCLNP1",3.27066573287208
"ABCG2","ABCG2",2.69952221404626
"UTP15","UTP15",2.83782089837146
"BMPR1B","BMPR1B",2.47276615150995
"AL627309.1","AL627309.1",2.72850379302788
"AL732372.2","AL732372.2",2.72850379302788
"AL669831.3","AL669831.3",2.72850379302788
"SEC24B","SEC24B",3.12855332126388
"CAST","CAST",3.15733223880127
"CTBP2P4","CTBP2P4",2.6794847877407
"PAM","PAM",2.56870490366785
"SRFBP1","SRFBP1",2.94280043721297
"LINC00500","LINC00500",2.42205937224362
"RNU6-531P","RNU6-531P",1.95459940634285
"FNIP1","FNIP1",3.06872524026284
"P4HA2","P4HA2",1.81100698619187
"SLC22A4","SLC22A4",2.35057130861076
"ARHGAP10","ARHGAP10",2.91437400877738
"ZCCHC10","ZCCHC10",2.85463006437275
"FHDC1","FHDC1",2.94643742692551
"TMEM131L","TMEM131L",3.03826314145743
"PURA","PURA",2.7034197707106
"ANKHD1","ANKHD1",3.14950996915774
