Id,Label,Degree,Betweenness,Expression
285855,RPL7L1,98,133260.78,0
84365,NIFK,93,65077.48,0
4067,LYN,91,101784.21,0
64969,MRPS5,77,24396.32,0
65008,MRPL1,70,17548.82,0
3667,IRS1,59,68756.73,0
841,CASP8,47,37371.81,0
4233,MET,47,37353.42,0
8658,TNKS,41,36427.91,0
1399,CRKL,39,21216.97,0
331,XIAP,38,86916.36,0
84135,UTP15,37,11686.13,0
56902,PNO1,32,9159.25,0
64983,MRPL32,30,13400.89,0
580,BARD1,29,67883.71,0
83737,ITCH,29,33123.09,0
658,BMPR1B,27,39031.61,0
2960,GTF2E1,26,24475,0
1736,DKC1,26,7136.7,0
7316,UBC,24,270233.16,0
4627,MYH9,23,48322.09,0
7150,TOP1,23,32663.68,0
1894,ECT2,23,9601.34,0
5203,PFDN4,22,22530.5,0
3280,HES1,22,17515.51,0
7204,TRIO,22,9889.08,0
6709,SPTAN1,21,14045.11,0
6606,SMN1,20,22845.86,0
79658,ARHGAP10,19,4727.55,0
2043,EPHA4,18,15841.84,0
6009,RHEB,18,13002.31,0
57129,MRPL47,18,5240.27,0
92,ACVR2A,17,10869,0
80012,PHC3,16,13905.2,0
8819,SAP30,16,10976.41,0
5782,PTPN12,15,4362.45,0
25898,RCHY1,13,11370.8,0
55660,PRPF40A,12,18631.5,0
81608,FIP1L1,12,12962.02,0
1030,CDKN2B,12,10846,0
55339,WDR33,12,2225.59,0
8886,DDX18,11,35148.95,0
7220,TRPC1,11,8890.3,0
3364,HUS1,11,7298.86,0
4084,MXD1,10,18338.24,0
6711,SPTBN1,10,10067.37,0
23165,NUP205,10,8883,0
26271,FBXO5,10,8360.35,0
27347,STK39,7,5931,0
7311,UBA52,6,34877.68,0
387,RHOA,6,9700.61,0
6714,SRC,6,8910.06,0
55272,IMP3,6,7339.34,0
10056,FARSB,6,4945,0
26234,FBXL5,6,4068.05,0
10181,RBM5,6,3958.5,0
207,AKT1,5,22200.53,0
54880,BCOR,5,13356.98,0
2091,FBL,5,6670.5,0
5747,PTK2,5,4649.05,0
3597,IL13RA1,5,3745.83,0
5599,MAPK8,5,3225.97,0
6147,RPL23A,5,2562.99,0
51154,MRTO4,5,2185.85,0
7411,VBP1,5,1981.5,0
29088,MRPL15,5,1712.04,0
1956,EGFR,5,1406.94,0
2885,GRB2,5,1406.94,0
7157,TP53,4,12837.54,0
3717,JAK2,4,6661.77,0
5879,RAC1,4,6006.87,0
836,CASP3,4,4274.14,0
6885,MAP3K7,4,4038.06,0
22853,LMTK2,4,3318.98,0
3065,HDAC1,4,3304.04,0
5594,MAPK1,4,3024.33,0
7035,TFPI,4,2970,0
54487,DGCR8,4,2970,0
25897,RNF19A,4,2970,0
998,CDC42,4,2736.7,0
389,RHOC,4,2410.26,0
388,RHOB,4,2410.26,0
301,ANXA1,4,2408.26,0
1195,CLK1,4,2053.6,0
9425,CDYL,4,1946.39,0
28998,MRPL13,4,1514.73,0
63875,MRPL17,4,1514.73,0
6654,SOS1,4,1396.62,0
65003,MRPL11,4,1266.74,0
6182,MRPL12,4,1266.74,0
5829,PXN,4,1185.09,0
6464,SHC1,4,1157.87,0
55720,TSR1,4,967.58,0
867,CBL,4,736.79,0
5781,PTPN11,4,736.79,0
51073,MRPL4,4,436.98,0
11222,MRPL3,4,436.98,0
6124,RPL4,4,165.96,0
6210,RPS15A,4,165.96,0
6135,RPL11,4,165.96,0
51602,NOP58,4,72.37,0
23223,RRP12,4,72.37,0
10528,NOP56,4,72.37,0
7332,UBE2L3,3,10917.38,0
7534,YWHAZ,3,6737.07,0
329,BIRC2,3,5864.42,0
6198,RPS6KB1,3,3798.11,0
2534,FYN,3,3629.45,0
55299,BRIX1,3,2670.97,0
5770,PTPN1,3,2403.29,0
5595,MAPK3,3,2084.54,0
23543,RBFOX2,3,1981,0
151742,PPM1L,3,1981,0
