Pathway,Total,Expected,Hits,P.Value,FDR
Ribonucleoprotein complex,681,39.6,223,1.85e-111,4.15e-109
Ribosome,249,14.5,135,7.91e-101,8.89e-99
Cytosol,2660,155,417,1.05e-95,7.89e-94
Macromolecular complex,4800,279,574,2.06e-92,1.16e-90
Ribosomal subunit,154,8.95,102,1.27e-88,5.73e-87
Nuclear lumen,2690,156,405,1.55e-86,5.8e-85
Nuclear part,3330,194,450,3e-82,9.66e-81
Organelle lumen,3380,197,454,3.56e-82,1e-80
Membrane_enclosed lumen,3440,200,458,7.62e-82,1.91e-80
Non_membrane_bounded organelle,3940,229,472,6.05e-69,1.24e-67
Intracellular non_membrane_bounded organelle,3940,229,472,6.05e-69,1.24e-67
Cytosolic part,204,11.9,100,9.86e-69,1.85e-67
Nucleoplasm,1820,106,292,2.65e-64,4.58e-63
Nucleolus,652,37.9,143,7.78e-46,1.25e-44
Small ribosomal subunit,72,4.19,42,1.66e-33,2.5e-32
Intracellular organelle part,8620,501,671,2.1e-30,2.95e-29
Organelle part,8790,511,680,3.55e-30,4.7e-29
Nucleoplasm part,910,52.9,141,8.38e-28,1.05e-26
Organellar ribosome,59,3.43,33,9.18e-26,1.03e-24
Mitochondrial ribosome,59,3.43,33,9.18e-26,1.03e-24
Protein complex,4050,236,373,3.5e-24,3.75e-23
Nucleus,7600,442,592,1.68e-23,1.72e-22
Nuclear body,295,17.1,54,3.78e-14,3.69e-13
Spliceosomal complex,161,9.36,37,3.45e-13,3.23e-12
Transcription factor complex,303,17.6,52,1.56e-12,1.41e-11
Proteasome complex,117,6.8,29,1.71e-11,1.48e-10
Membrane raft,189,11,37,5.51e-11,4.59e-10
Cell leading edge,283,16.5,44,2.12e-09,1.7e-08
Small nuclear ribonucleoprotein complex,40,2.33,15,2.68e-09,2.08e-08
Cell cortex,195,11.3,34,7.7e-09,5.77e-08
"DNA_directed RNA polymerase II, holoenzyme",93,5.41,22,1.2e-08,8.73e-08
DNA_directed RNA polymerase complex,105,6.1,23,2.68e-08,1.83e-07
Nuclear DNA_directed RNA polymerase complex,105,6.1,23,2.68e-08,1.83e-07
RNA polymerase complex,106,6.16,23,3.24e-08,2.11e-07
Nuclear chromosome,320,18.6,45,3.29e-08,2.11e-07
Nuclear chromosome part,273,15.9,40,6.17e-08,3.85e-07
Nuclear ubiquitin ligase complex,26,1.51,11,8.34e-08,5.07e-07
Nuclear membrane,207,12,33,1.19e-07,7.03e-07
Mitochondrial matrix,329,19.1,44,2.03e-07,1.14e-06
Mitochondrial matrix,329,19.1,44,2.03e-07,1.14e-06
Receptor complex,189,11,30,4.87e-07,2.67e-06
Lamellipodium,127,7.38,23,1.01e-06,5.43e-06
Ruffle,135,7.85,23,3.03e-06,1.58e-05
Cell_substrate junction,147,8.54,24,4.02e-06,2.06e-05
