"","GSM4731601","GSM4731602","GSM4731603","GSM4731604","GSM4731605","GSM4731606","GSM4731607","GSM4731608","GSM4731609","GSM4731610","GSM4731611","GSM4731612","GSM4731613","GSM4731614","GSM4731615","GSM4731616","GSM4731617","GSM4731618"
"GRHL1",7.314533454,7.199881749,7.442941032,7.23594051,7.404697446,7.338405003,7.040352589,7.328961023,7.399426137,7.438668084,7.494666915,7.496371028,8.072191639,8.165416486,8.358757651,8.510540529,8.477618437,8.264589578
"EHD3",7.030425172,7.120563587,6.976918752,7.064292797,7.241595,7.07441368,6.994700739,7.163515771,7.278620525,7.000646675,6.870707211,7.066128641,6.395199661,6.824392619,6.664244423,5.957922993,6.29653322,6.358891168
"CRIM1",6.817112087,6.742364744,6.885126911,6.817089377,6.80831292,6.803742074,6.631019073,6.918656866,6.823048661,6.823378497,6.731629744,6.714256873,7.27333821,7.341109124,7.40625181,7.932943567,7.534356238,7.694064016
"FOXN2",7.530499067,7.277452624,7.862063418,7.437706782,7.939644456,7.368830386,7.244792854,7.491138526,7.976886884,7.506828435,7.600315514,7.853664281,7.691978119,8.195639944,8.146309789,8.28853025,8.800443903,8.125977884
"PNO1",7.037374939,6.781003549,6.885177324,7.04919239,7.196443427,7.081368175,6.846177837,7.047803485,7.154500241,7.253643375,7.237778447,7.256891942,7.936192281,7.959970446,7.723528261,8.193569016,8.02122045,7.97692915
"ANTXR1",6.536324724,6.579910656,6.595467265,6.634019835,6.772554474,6.555255629,6.478899274,6.651562918,6.72414928,6.328318953,6.302869978,6.531451473,5.75698092,5.901658514,5.770106551,5.337780573,5.803750341,5.642576435
"GMCL1",7.128133702,6.839421419,7.462644805,6.995937119,7.562544058,6.953422439,6.784334306,7.307405346,7.503768215,7.211908913,7.222236873,7.431991886,5.897866473,6.494949106,6.398842594,6.377005337,6.422709355,5.691660079
"OR7E91P",5.703691376,5.837861052,6.084879841,5.60602713,6.005882079,5.745340137,5.463482544,6.071538767,6.227757788,5.620807623,5.66326159,5.467619801,6.222774959,7.231463447,6.957199895,6.514465832,6.820242961,6.915221256
"GCFC2",5.25181363,4.871678359,5.486682931,5.02389544,5.561546732,5.167881036,4.878119298,5.303793288,5.471228565,5.296280228,5.340938402,5.421364138,5.657915982,5.99820528,6.049974352,6.5234442,6.287767856,5.760009909
"PTCD3",7.367857418,7.038574274,7.316925844,7.199053657,7.399451284,7.223359089,7.120157631,7.386687996,7.469191395,7.633891822,7.587670287,7.498415916,7.987678859,7.931259738,8.006443956,8.267602673,8.101556978,7.881525401
"KDM3A",6.973993556,6.83224395,6.837133067,6.828717051,7.003484165,6.881960872,6.669832048,7.054354553,7.001105816,6.979124676,6.989089139,7.023728016,7.589722117,7.601123719,7.696982441,8.325652445,8.034368398,7.726054299
"RNU2-63P",5.897770943,5.5147511,5.699863519,5.85413598,5.950634381,5.52654548,5.858082126,5.819934717,5.705194933,6.172672268,5.907649978,5.764203047,4.883765599,5.160733217,4.90911079,4.442568496,4.445493893,4.708808636
"KRCC1",7.263161306,7.053009917,7.393920036,7.3229071,7.751351972,7.170272316,7.080233595,7.322125743,7.727171671,7.588047815,7.409697911,7.693713191,7.950263377,8.055159618,8.259586351,8.666924109,8.782494579,8.141580084
"EIF2AK3",7.641325954,7.387797009,7.515466005,7.538884668,7.692695336,7.50006775,7.379211898,7.66415362,7.681319464,7.722765445,7.683786538,7.587610078,8.168900072,8.060731432,8.210724549,9.1768522,8.775704382,8.588166612
