"","GSM4731601","GSM4731602","GSM4731603","GSM4731604","GSM4731605","GSM4731606","GSM4731607","GSM4731608","GSM4731609","GSM4731610","GSM4731611","GSM4731612","GSM4731613","GSM4731614","GSM4731615","GSM4731616","GSM4731617","GSM4731618"
"LINC01871",4.181419088,4.19102509,4.325411276,4.149035519,3.978870642,3.831033256,4.005503763,3.946185559,4.217800836,3.75871987,3.835394014,4.000831508,4.071368448,4.597240473,4.481359218,4.118773361,4.0285295,3.829289916
"OTX1",6.417700093,6.604742206,6.631128278,6.539995425,6.488186489,6.665077722,6.446975407,6.373207042,6.391804543,6.348350761,6.260934387,6.046094369,6.050026547,6.219291702,6.191426169,5.788929003,5.760454059,6.026046297
"PNO1",7.037374939,6.781003549,6.885177324,7.04919239,7.196443427,7.081368175,6.846177837,7.047803485,7.154500241,7.253643375,7.237778447,7.256891942,7.936192281,7.959970446,7.723528261,8.193569016,8.02122045,7.97692915
"MRPS9",7.278889388,7.124199805,7.271496639,7.17926207,7.53939975,7.107308594,6.998273385,7.273087078,7.493743871,7.596075416,7.486325553,7.497210358,7.583085035,7.77940328,7.718953241,7.767557768,7.782273072,7.341766696
"POTEKP",8.361610323,8.141146276,8.246251848,8.222424012,8.696581777,8.202513217,8.039132286,8.388123093,8.666005637,8.467038265,8.586340433,8.646554403,7.573795675,7.604282401,7.614475213,8.131401912,8.081465684,7.438547333
"RBM43",5.372984727,5.2314649,5.380591536,5.362521222,5.494748694,5.249172687,5.252292767,5.309732141,5.343001954,5.651013666,5.628981784,5.673848801,5.514207922,5.684829848,5.404380028,5.6050123,5.994105673,5.543834818
"SPC25",6.776061474,6.61813091,6.600347322,6.819030804,6.782991719,6.723584698,6.685718361,6.828081611,6.966156631,6.97540706,6.950914949,7.061233069,6.533553118,6.684630604,6.671744349,6.892005453,6.690024125,6.532497554
"AC233280.13",6.058808805,6.194506864,5.981372328,5.859722946,5.964198044,6.151664111,6.151793037,5.895447032,6.036288864,5.66295947,5.87891842,5.747026896,5.928549937,6.292627885,5.714047339,5.594025758,5.446712554,5.568697936
"AC233280.28",6.058808805,6.194506864,5.981372328,5.859722946,5.964198044,6.151664111,6.151793037,5.895447032,6.036288864,5.66295947,5.87891842,5.747026896,5.928549937,6.292627885,5.714047339,5.594025758,5.446712554,5.568697936
"AC233280.19",6.058808805,6.194506864,5.981372328,5.859722946,5.964198044,6.151664111,6.151793037,5.895447032,6.036288864,5.66295947,5.87891842,5.747026896,5.928549937,6.292627885,5.714047339,5.594025758,5.446712554,5.568697936
"AC233280.11",6.058808805,6.194506864,5.981372328,5.859722946,5.964198044,6.151664111,6.151793037,5.895447032,6.036288864,5.66295947,5.87891842,5.747026896,5.928549937,6.292627885,5.714047339,5.594025758,5.446712554,5.568697936
"AC233280.8",6.058808805,6.194506864,5.981372328,5.859722946,5.964198044,6.151664111,6.151793037,5.895447032,6.036288864,5.66295947,5.87891842,5.747026896,5.928549937,6.292627885,5.714047339,5.594025758,5.446712554,5.568697936
"AC233280.25",6.058808805,6.194506864,5.981372328,5.859722946,5.964198044,6.151664111,6.151793037,5.895447032,6.036288864,5.66295947,5.87891842,5.747026896,5.928549937,6.292627885,5.714047339,5.594025758,5.446712554,5.568697936
