"","GSM4731601","GSM4731602","GSM4731603","GSM4731604","GSM4731605","GSM4731606","GSM4731607","GSM4731608","GSM4731609","GSM4731610","GSM4731611","GSM4731612","GSM4731613","GSM4731614","GSM4731615","GSM4731616","GSM4731617","GSM4731618"
"EHD3",7.030425172,7.120563587,6.976918752,7.064292797,7.241595,7.07441368,6.994700739,7.163515771,7.278620525,7.000646675,6.870707211,7.066128641,6.395199661,6.824392619,6.664244423,5.957922993,6.29653322,6.358891168
"ANTXR1",6.536324724,6.579910656,6.595467265,6.634019835,6.772554474,6.555255629,6.478899274,6.651562918,6.72414928,6.328318953,6.302869978,6.531451473,5.75698092,5.901658514,5.770106551,5.337780573,5.803750341,5.642576435
"GMCL1",7.128133702,6.839421419,7.462644805,6.995937119,7.562544058,6.953422439,6.784334306,7.307405346,7.503768215,7.211908913,7.222236873,7.431991886,5.897866473,6.494949106,6.398842594,6.377005337,6.422709355,5.691660079
"RNU2-63P",5.897770943,5.5147511,5.699863519,5.85413598,5.950634381,5.52654548,5.858082126,5.819934717,5.705194933,6.172672268,5.907649978,5.764203047,4.883765599,5.160733217,4.90911079,4.442568496,4.445493893,4.708808636
"MGAT5",8.623384274,8.466714242,8.481025497,8.597760477,8.374460742,8.67917007,8.414136484,8.614782368,8.596318509,8.575548661,8.557585218,8.168590333,7.720932188,7.751106302,7.631836925,7.548758674,7.319930194,7.379635473
"RNA5SP109",4.117025845,4.255811014,4.421711529,3.937027293,4.287995847,3.981657631,3.919208265,4.240283739,4.53540158,4.512590211,4.752794812,4.450862127,3.501556571,3.346447446,3.441067187,3.111967889,3.348986476,3.312207752
"FAM114A1",7.190880503,7.079081895,7.137141134,7.166795309,7.35656602,7.195069217,6.992475856,7.208035843,7.267034748,7.016495731,7.018859112,6.958465095,6.226923219,6.557645173,6.553331752,6.468965594,6.612782681,6.215418355
"DANCR",6.794357033,6.702769676,6.616776661,6.797472776,6.610641026,6.936959216,6.593554946,6.791250051,6.473080094,6.811453151,6.746812755,6.308319438,6.124597668,5.969530227,5.953283722,5.557413282,5.794544845,5.991703197
"MIR4449",6.794357033,6.702769676,6.616776661,6.797472776,6.610641026,6.936959216,6.593554946,6.791250051,6.473080094,6.811453151,6.746812755,6.308319438,6.124597668,5.969530227,5.953283722,5.557413282,5.794544845,5.991703197
"RAD18",7.464133073,7.088484501,7.57601657,7.267720634,7.970841171,7.216253148,6.877659547,7.227988925,7.675795969,7.087614662,7.069952579,7.08949384,6.644683465,7.27637921,6.786131742,6.673829023,6.702178144,6.146285412
"KCNS3",5.93077011,6.246375046,6.007889667,5.925058887,5.694881524,5.917255933,5.944795227,6.351248334,5.662015199,5.7830119,5.607682538,5.332111818,4.907728305,5.576185688,5.2729409,4.775260058,4.876509836,4.914410023
"BTD",6.391980943,6.291223119,6.303289083,6.297942807,6.400224257,6.510227593,6.18358225,6.401883075,6.265946413,6.098266762,6.141701159,5.962833233,5.515708888,5.603352882,5.69134416,5.495108217,5.387691374,5.553033315
"ZNF512",6.321752658,6.206083372,5.967863697,6.312916373,6.427661439,6.26741288,6.136403728,6.414916561,6.281042132,6.389121333,6.350211557,6.25828732,5.687285611,5.713064198,5.712938659,5.539027917,5.600673756,5.467818128
"AC074091.2",6.321752658,6.206083372,5.967863697,6.312916373,6.427661439,6.26741288,6.136403728,6.414916561,6.281042132,6.389121333,6.350211557,6.25828732,5.687285611,5.713064198,5.712938659,5.539027917,5.600673756,5.467818128
"PEBP1P2",8.801093724,8.688136366,8.223390141,8.912316305,8.275868406,8.797662126,8.755233078,8.83944666,8.084447893,8.916813256,8.689293879,7.992747547,7.634953845,7.602936846,7.284087909,6.72841863,7.253576966,7.519123075
