"","GSM4731601","GSM4731602","GSM4731603","GSM4731604","GSM4731605","GSM4731606","GSM4731607","GSM4731608","GSM4731609","GSM4731610","GSM4731611","GSM4731612","GSM4731613","GSM4731614","GSM4731615","GSM4731616","GSM4731617","GSM4731618"
"LINC01871",4.181419088,4.19102509,4.325411276,4.149035519,3.978870642,3.831033256,4.005503763,3.946185559,4.217800836,3.75871987,3.835394014,4.000831508,4.071368448,4.597240473,4.481359218,4.118773361,4.0285295,3.829289916
"OTX1",6.417700093,6.604742206,6.631128278,6.539995425,6.488186489,6.665077722,6.446975407,6.373207042,6.391804543,6.348350761,6.260934387,6.046094369,6.050026547,6.219291702,6.191426169,5.788929003,5.760454059,6.026046297
"AC233280.13",6.058808805,6.194506864,5.981372328,5.859722946,5.964198044,6.151664111,6.151793037,5.895447032,6.036288864,5.66295947,5.87891842,5.747026896,5.928549937,6.292627885,5.714047339,5.594025758,5.446712554,5.568697936
"AC233280.28",6.058808805,6.194506864,5.981372328,5.859722946,5.964198044,6.151664111,6.151793037,5.895447032,6.036288864,5.66295947,5.87891842,5.747026896,5.928549937,6.292627885,5.714047339,5.594025758,5.446712554,5.568697936
"AC233280.19",6.058808805,6.194506864,5.981372328,5.859722946,5.964198044,6.151664111,6.151793037,5.895447032,6.036288864,5.66295947,5.87891842,5.747026896,5.928549937,6.292627885,5.714047339,5.594025758,5.446712554,5.568697936
"AC233280.11",6.058808805,6.194506864,5.981372328,5.859722946,5.964198044,6.151664111,6.151793037,5.895447032,6.036288864,5.66295947,5.87891842,5.747026896,5.928549937,6.292627885,5.714047339,5.594025758,5.446712554,5.568697936
"AC233280.8",6.058808805,6.194506864,5.981372328,5.859722946,5.964198044,6.151664111,6.151793037,5.895447032,6.036288864,5.66295947,5.87891842,5.747026896,5.928549937,6.292627885,5.714047339,5.594025758,5.446712554,5.568697936
"AC233280.25",6.058808805,6.194506864,5.981372328,5.859722946,5.964198044,6.151664111,6.151793037,5.895447032,6.036288864,5.66295947,5.87891842,5.747026896,5.928549937,6.292627885,5.714047339,5.594025758,5.446712554,5.568697936
"AC233280.12",6.058808805,6.194506864,5.981372328,5.859722946,5.964198044,6.151664111,6.151793037,5.895447032,6.036288864,5.66295947,5.87891842,5.747026896,5.928549937,6.292627885,5.714047339,5.594025758,5.446712554,5.568697936
"IGKV1-6",6.086482913,6.311149933,6.126560332,5.873651343,5.877878438,6.117284609,6.516921204,6.056438297,5.780130202,5.917357173,5.817249458,5.647277264,6.309898479,6.521977533,6.252131735,6.179486666,6.103735803,6.055452908
"KCNS3",5.93077011,6.246375046,6.007889667,5.925058887,5.694881524,5.917255933,5.944795227,6.351248334,5.662015199,5.7830119,5.607682538,5.332111818,4.907728305,5.576185688,5.2729409,4.775260058,4.876509836,4.914410023
"AC005041.3",5.361516059,5.375099162,5.488308123,5.30809942,5.398449715,5.498459453,5.279318849,5.440367701,4.903270342,5.08889159,5.214882986,4.912283976,5.475949811,5.731213026,5.790548228,5.588501999,5.804019058,6.114339419
"LBX2-AS1",5.361516059,5.375099162,5.488308123,5.30809942,5.398449715,5.498459453,5.279318849,5.440367701,4.903270342,5.08889159,5.214882986,4.912283976,5.475949811,5.731213026,5.790548228,5.588501999,5.804019058,6.114339419
