Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0005509~calcium ion binding	16	0.09240009240009239	1.1944877393734407E-4	PLA2G12A, PCDHGB5, PCDHB11, PCDHB10, AIF1L, FKBP9P1, PCDHB2, PCDHB6, EFHD1, PCDHB5, PCDHB4, MAN1A1, PCDHB3, PCDHB9, PCDHB8, MATN2	108	717	15478	3.198099075365463	0.05256227582180595	0.05399084581967952	0.05399084581967952
GOTERM_MF_FAT	GO:0015459~potassium channel regulator activity	4	0.023100023100023098	0.0041762300518247	LRRC26, C8ORF44-SGK3, KCNS3, SGK3	108	47	15478	12.197005516154451	0.8491710151838091	0.9438279917123823	0.9438279917123823
GOTERM_MF_FAT	GO:0004602~glutathione peroxidase activity	3	0.017325017325017324	0.009125909105580187	GSTK1, GPX3, MGST2	108	21	15478	20.473544973544975	0.9841383018437712	1.0	1.0
GOTERM_MF_FAT	GO:0016247~channel regulator activity	5	0.028875028875028876	0.014313069123502534	LRRC26, C8ORF44-SGK3, KCNS3, SGK3, PTPN3	108	135	15478	5.3079561042524	0.9985207988243332	1.0	1.0
GOTERM_MF_FAT	GO:0017080~sodium channel regulator activity	3	0.017325017325017324	0.024287447468472886	C8ORF44-SGK3, SGK3, PTPN3	108	35	15478	12.284126984126983	0.9999850893943837	1.0	1.0
GOTERM_MF_FAT	GO:0004725~protein tyrosine phosphatase activity	4	0.023100023100023098	0.03538654230198346	PTPN18, EYA2, DUSP18, PTPN3	108	104	15478	5.512108262108262	0.9999999153359341	1.0	1.0
GOTERM_MF_FAT	GO:0004601~peroxidase activity	3	0.017325017325017324	0.037100992259375964	GSTK1, GPX3, MGST2	108	44	15478	9.771464646464647	0.999999962112661	1.0	1.0
GOTERM_MF_FAT	GO:0016684~oxidoreductase activity, acting on peroxide as acceptor	3	0.017325017325017324	0.0418359109226481	GSTK1, GPX3, MGST2	108	47	15478	9.14775413711584	0.9999999959184017	1.0	1.0
GOTERM_MF_FAT	GO:0016798~hydrolase activity, acting on glycosyl bonds	4	0.023100023100023098	0.0579089771526128	GM2A, OGG1, NAGA, MAN1A1	108	127	15478	4.513852435112278	0.9999999999980502	1.0	1.0
GOTERM_MF_FAT	GO:0015929~hexosaminidase activity	2	0.011550011550011549	0.0925887930555531	GM2A, NAGA	108	14	15478	20.473544973544975	1.0	1.0	1.0
