Pathway,Total,Expected,Hits,P.Value,FDR
Chemokine signaling pathway,190,2.92,36,2.58e-30,8.19e-28
Rap1 signaling pathway,206,3.17,35,9.99e-28,1.59e-25
Morphine addiction,91,1.4,26,7.52e-27,7.98e-25
Phospholipase D signaling pathway,148,2.28,30,4.26e-26,3.39e-24
Endocrine resistance,98,1.51,26,6.51e-26,4.14e-24
Platelet activation,124,1.91,28,9.4e-26,4.98e-24
Proteoglycans in cancer,201,3.09,33,1.33e-25,6.06e-24
Pathways in cancer,530,8.15,46,9.12e-24,3.62e-22
Focal adhesion,199,3.06,31,2.61e-23,9.23e-22
Ras signaling pathway,232,3.57,32,2.24e-22,7.12e-21
Estrogen signaling pathway,138,2.12,26,9.24e-22,2.67e-20
Inflammatory mediator regulation of TRP channels,100,1.54,23,2.09e-21,5.53e-20
Dilated cardiomyopathy,91,1.4,22,5.13e-21,1.26e-19
GnRH signaling pathway,93,1.43,22,8.63e-21,1.96e-19
Longevity regulating pathway - multiple species,62,0.954,19,2.01e-20,4.26e-19
Cholinergic synapse,112,1.72,23,3.36e-20,6.68e-19
Progesterone-mediated oocyte maturation,99,1.52,22,3.79e-20,7.09e-19
Gap junction,88,1.35,21,5.83e-20,1.03e-18
Regulation of lipolysis in adipocytes,55,0.846,17,1.96e-18,3.28e-17
Longevity regulating pathway,89,1.37,19,3.8e-17,6.04e-16
PI3K-Akt signaling pathway,354,5.44,32,9.28e-17,1.41e-15
cAMP signaling pathway,212,3.26,25,7.47e-16,1.05e-14
GABAergic synapse,89,1.37,18,7.62e-16,1.05e-14
Apelin signaling pathway,137,2.11,21,9.26e-16,1.23e-14
EGFR tyrosine kinase inhibitor resistance,79,1.22,17,1.69e-15,2.15e-14
Leukocyte transendothelial migration,112,1.72,19,3.53e-15,4.32e-14
Ovarian steroidogenesis,49,0.754,14,8.17e-15,9.63e-14
Neurotrophin signaling pathway,119,1.83,19,1.13e-14,1.29e-13
Circadian entrainment,97,1.49,17,6.38e-14,7e-13
Regulation of actin cytoskeleton,214,3.29,23,9.47e-14,1e-12
AGE-RAGE signaling pathway in diabetic complications,100,1.54,17,1.08e-13,1.1e-12
Oxytocin signaling pathway,153,2.35,20,1.11e-13,1.1e-12
Melanogenesis,101,1.55,17,1.28e-13,1.24e-12
Bacterial invasion of epithelial cells,74,1.14,15,2.22e-13,2.07e-12
Retrograde endocannabinoid signaling,148,2.28,19,6.77e-13,6.15e-12
Glutamatergic synapse,114,1.75,17,1.01e-12,8.94e-12
Fc epsilon RI signaling pathway,68,1.05,14,1.17e-12,1.01e-11
ErbB signaling pathway,85,1.31,15,1.9e-12,1.59e-11
Gastric acid secretion,75,1.15,14,4.86e-12,3.87e-11
Glioma,75,1.15,14,4.86e-12,3.87e-11
Adrenergic signaling in cardiomyocytes,145,2.23,18,5.19e-12,4.02e-11
Purine metabolism,130,2,17,9.06e-12,6.86e-11
Vascular smooth muscle contraction,132,2.03,17,1.17e-11,8.62e-11
Aldosterone synthesis and secretion,98,1.51,15,1.63e-11,1.18e-10
Insulin signaling pathway,137,2.11,17,2.14e-11,1.52e-10
Renal cell carcinoma,69,1.06,13,2.6e-11,1.8e-10
Insulin secretion,86,1.32,14,3.42e-11,2.31e-10
VEGF signaling pathway,59,0.907,12,6.09e-11,4.03e-10
Thyroid hormone synthesis,74,1.14,13,6.6e-11,4.28e-10
Chronic myeloid leukemia,76,1.17,13,9.38e-11,5.97e-10
Natural killer cell mediated cytotoxicity,131,2.01,16,1.12e-10,6.96e-10
Axon guidance,181,2.78,18,2.24e-10,1.37e-09
Non-small cell lung cancer,66,1.02,12,2.45e-10,1.47e-09
ECM-receptor interaction,82,1.26,13,2.54e-10,1.49e-09
Kaposi's sarcoma-associated herpesvirus infection,186,2.86,18,3.51e-10,2.03e-09
Prolactin signaling pathway,70,1.08,12,5.02e-10,2.85e-09
MAPK signaling pathway,295,4.54,22,5.13e-10,2.86e-09
Oocyte meiosis,125,1.92,15,5.74e-10,3.15e-09
Bile secretion,72,1.11,12,7.07e-10,3.77e-09
HTLV-I infection,219,3.37,19,7.11e-10,3.77e-09
Salivary secretion,90,1.38,13,8.43e-10,4.4e-09
Fc gamma R-mediated phagocytosis,91,1.4,13,9.71e-10,4.98e-09
cGMP-PKG signaling pathway,166,2.55,16,3.88e-09,1.96e-08
Viral carcinogenesis,201,3.09,17,9.02e-09,4.48e-08
FoxO signaling pathway,132,2.03,14,1.14e-08,5.59e-08
Pancreatic secretion,98,1.51,12,2.67e-08,1.29e-07
HIF-1 signaling pathway,100,1.54,12,3.37e-08,1.6e-07
B cell receptor signaling pathway,71,1.09,10,1.06e-07,4.96e-07
Calcium signaling pathway,188,2.89,15,1.58e-07,7.26e-07
Thyroid hormone signaling pathway,116,1.78,12,1.79e-07,8.14e-07
Amoebiasis,96,1.48,11,2.1e-07,9.4e-07
Prostate cancer,97,1.49,11,2.34e-07,1.03e-06
Sphingolipid signaling pathway,119,1.83,12,2.38e-07,1.04e-06
Choline metabolism in cancer,99,1.52,11,2.88e-07,1.24e-06
T cell receptor signaling pathway,101,1.55,11,3.54e-07,1.5e-06
Osteoclast differentiation,128,1.97,12,5.3e-07,2.22e-06
Shigellosis,65,1,9,5.51e-07,2.28e-06
Hypertrophic cardiomyopathy (HCM),85,1.31,10,6e-07,2.45e-06
Epithelial cell signaling in Helicobacter pylori infection,68,1.05,9,8.18e-07,3.29e-06
Renin secretion,69,1.06,9,9.28e-07,3.69e-06
Hepatitis B,163,2.51,13,1.13e-06,4.43e-06
Signaling pathways regulating pluripotency of stem cells,139,2.14,12,1.29e-06,5e-06
Serotonergic synapse,115,1.77,11,1.32e-06,5.07e-06
Melanoma,72,1.11,9,1.34e-06,5.08e-06
Endometrial cancer,58,0.892,8,2.49e-06,9.33e-06
Chagas disease (American trypanosomiasis),103,1.58,10,3.59e-06,1.33e-05
Dopaminergic synapse,131,2.01,11,4.8e-06,1.76e-05
Colorectal cancer,86,1.32,9,6.05e-06,2.19e-05
Hedgehog signaling pathway,47,0.723,7,6.45e-06,2.3e-05
Acute myeloid leukemia,66,1.02,8,6.75e-06,2.38e-05
Long-term potentiation,67,1.03,8,7.56e-06,2.64e-05
Vibrio cholerae infection,50,0.769,7,9.85e-06,3.41e-05
MicroRNAs in cancer,299,4.6,16,1.21e-05,4.15e-05
Arrhythmogenic right ventricular cardiomyopathy (ARVC),72,1.11,8,1.3e-05,4.4e-05
Breast cancer,147,2.26,11,1.46e-05,4.87e-05
Alcoholism,180,2.77,12,1.89e-05,6.27e-05
Autophagy - animal,128,1.97,10,2.5e-05,8.19e-05
