Pathway,Total,Expected,Hits,P.Value,FDR
Blood coagulation,564,5.13,59,3.24e-48,1.66e-45
Coagulation,568,5.17,59,4.92e-48,1.66e-45
Hemostasis,570,5.19,59,6.06e-48,1.66e-45
Wound healing,700,6.37,63,8.42e-48,1.73e-45
Regulation of body fluid levels,680,6.19,59,1.93e-43,3.16e-41
Response to wounding,1310,11.9,71,1.15e-39,1.57e-37
Epidermal growth factor receptor signaling pathway,167,1.52,35,1.35e-38,1.58e-36
Transmembrane receptor protein tyrosine kinase signaling pathway,782,7.12,55,2.73e-35,2.8e-33
Positive regulation of protein phosphorylation,681,6.2,51,8.61e-34,7.84e-32
Positive regulation of phosphorylation,697,6.34,51,2.69e-33,2.2e-31
Enzyme linked receptor protein signaling pathway,1180,10.7,61,4.49e-32,3.35e-30
Positive regulation of phosphate metabolic process,789,7.18,52,9.21e-32,6.29e-30
Regulation of protein phosphorylation,987,8.98,56,4.57e-31,2.88e-29
Regulation of phosphorylation,1070,9.71,57,2.6e-30,1.53e-28
Activation of phospholipase C activity,56,0.51,21,2.64e-29,1.44e-27
Positive regulation of transferase activity,510,4.64,42,4.24e-29,2.17e-27
Activation of protein kinase activity,260,2.37,33,8.05e-29,3.88e-27
Positive regulation of protein modification process,867,7.89,51,1.01e-28,4.58e-27
Positive regulation of cellular protein metabolic process,968,8.81,52,1.9e-27,8.2e-26
Protein phosphorylation,1480,13.5,62,2.45e-27,1e-25
Cell surface receptor signaling pathway,3340,30.4,88,5.56e-27,2.17e-25
Cell activation,960,8.73,51,1.23e-26,4.58e-25
Regulation of protein modification process,1250,11.4,56,7.73e-26,2.75e-24
Response to endogenous stimulus,1360,12.4,58,1.09e-25,3.74e-24
Response to hormone stimulus,751,6.83,45,2.09e-25,6.87e-24
Phosphorylation,1680,15.3,63,2.79e-25,8.79e-24
Positive regulation of protein metabolic process,1080,9.85,52,3.9e-25,1.19e-23
Response to organic substance,2500,22.7,75,5.17e-25,1.51e-23
Regulation of protein kinase activity,698,6.35,43,1.1e-24,3.11e-23
Regulation of kinase activity,743,6.76,44,1.35e-24,3.7e-23
Regulation of transferase activity,768,6.99,44,5.19e-24,1.37e-22
Leukocyte migration,309,2.81,31,6.7e-24,1.72e-22
Cell_substrate adhesion,241,2.19,28,2.28e-23,5.67e-22
Regulation of cellular protein metabolic process,1560,14.2,58,9.82e-23,2.37e-21
Positive regulation of catalytic activity,1070,9.73,49,1.19e-22,2.79e-21
Regulation of protein metabolic process,1820,16.6,62,1.84e-22,4.2e-21
Cell migration,1050,9.59,48,5.04e-22,1.12e-20
Response to chemical stimulus,3830,34.9,87,1.04e-21,2.24e-20
Regulation of catalytic activity,1730,15.8,59,3.13e-21,6.58e-20
Signal transduction,6310,57.4,109,7.01e-21,1.44e-19
Intracellular signal transduction,2450,22.3,69,7.58e-21,1.52e-19
Cell_matrix adhesion,159,1.45,22,3.72e-20,7.27e-19
Positive regulation of MAPK cascade,368,3.35,29,2.01e-19,3.84e-18
Positive regulation of cellular metabolic process,2530,23,68,2.5e-19,4.66e-18
Regulation of molecular function,2250,20.5,63,1.81e-18,3.29e-17
Energy reserve metabolic process,199,1.81,22,5.32e-18,9.48e-17
Regulation of hydrolase activity,843,7.67,39,6.75e-18,1.18e-16
Peptidyl_tyrosine phosphorylation,228,2.07,23,6.93e-18,1.18e-16
Positive regulation of metabolic process,2690,24.5,68,8.26e-18,1.38e-16
Peptidyl_tyrosine modification,230,2.09,23,8.44e-18,1.38e-16
Intracellular protein kinase cascade,1140,10.3,44,2.34e-17,3.76e-16
Regulation of MAPK cascade,559,5.09,32,2.76e-17,4.28e-16
Positive regulation of response to stimulus,1550,14.1,51,2.77e-17,4.28e-16
Positive regulation of signal transduction,998,9.08,41,5.22e-17,7.93e-16
Positive regulation of hydrolase activity,497,4.52,30,7.64e-17,1.14e-15
Response to stress,4150,37.8,83,1.59e-16,2.32e-15
Response to external stimulus,1510,13.7,49,2.53e-16,3.64e-15
Regulation of biological quality,3400,30.9,74,4.39e-16,6.21e-15
MAPK cascade,665,6.05,33,5.47e-16,7.61e-15
